energy_kwh,machine_runtime_hours,furnace_usage,cooling_load,shift_hours,co2_kg
14652.39,21.99,3.19,314.46,24,9617.33
4079.24,8.91,1.87,61.49,12,2183.19
8273.71,9.49,0.22,551.18,12,4481.22
6991.12,8.11,0.8,74.55,12,3645.38
5817.69,7.08,6.98,142.49,8,2968.0
4742.87,10.28,0.9,115.53,12,2512.4
6033.42,4.11,0.5,117.7,8,2921.96
3141.67,6.72,2.14,71.22,8,1565.59
16494.7,18.25,0.32,422.84,24,10584.38
4543.12,8.78,2.76,329.25,12,2563.34
1290.02,7.58,0.6,79.79,8,656.3
6608.36,7.34,6.49,670.37,12,3894.4
7803.76,13.02,0.93,1267.28,16,4911.9
11567.48,10.3,2.48,274.69,16,6619.62
9135.74,19.22,3.12,461.29,24,6227.06
3897.72,8.81,0.78,619.64,16,2463.14
7418.38,12.11,0.59,349.7,24,4879.4
8798.87,5.05,1.73,311.14,8,4336.25
5373.34,11.57,0.13,53.67,12,2783.25
18401.48,22.27,0.44,245.82,24,11700.05
4964.09,7.68,2.63,666.01,12,2914.68
7146.13,8.78,0.52,531.93,12,3905.32
25868.34,21.93,3.29,846.18,24,16928.53
5577.64,5.98,0.68,189.32,8,2736.86
4111.67,6.13,0.21,88.75,12,2153.46
7658.89,9.09,10.11,215.79,16,4819.26
17831.55,22.93,0.3,711.45,24,11567.69
3570.49,4.81,0.26,93.4,8,1737.62
5986.28,12.18,0.29,251.26,16,3425.1
4768.62,11.4,2.91,476.67,12,2745.59
10565.89,8.66,1.48,464.56,16,6103.05
3651.19,4.53,0.13,160.96,8,1799.05
5741.2,9.97,0.88,225.86,12,3069.69
4833.22,15.83,0.65,243.71,24,3209.81
16053.5,12.72,0.08,99.34,24,10123.14
5010.36,6.81,0.69,272.18,8,2499.59
2775.33,7.03,0.67,333.16,8,1460.87
3217.55,7.29,4.42,282.98,12,1921.77
6547.38,15.92,0.03,62.06,24,4139.2
8405.47,20.83,4.22,537.65,24,5901.4
4713.89,12.6,0.98,345.7,24,3214.84
7886.81,23.09,0.97,408.26,24,5234.71
7749.62,11.7,4.18,343.06,12,4263.49
6214.51,13.73,0.56,299.26,16,3585.51
11224.06,21.02,0.83,162.73,24,7190.67
5347.45,5.05,0.34,375.63,8,2691.84
18250.46,19.15,2.79,231.72,24,11797.48
5440.21,7.2,2.22,237.96,8,2723.3
8291.51,13.49,0.68,242.3,16,4710.74
5438.89,6.17,0.36,201.86,8,2668.88
8394.89,13.33,2.34,776.48,24,5856.56
6429.15,21.46,0.67,233.06,24,4206.12
4060.42,11.04,0.09,237.04,12,2184.56
5762.97,11.41,0.2,282.42,12,3080.69
20838.13,19.51,0.5,226.95,24,13223.31
3767.66,12.75,1.26,24.65,16,2149.46
4132.03,7.75,1.45,161.43,8,2056.03
13282.96,12.8,0.69,406.61,16,7534.82
13504.81,11.17,2.15,57.14,16,7573.5
4327.83,5.24,5.51,95.66,8,2210.69
6761.85,9.94,0.63,634.14,16,4040.51
7592.88,15.09,4.49,288.98,16,4536.12
7975.62,18.46,2.7,44.58,24,5252.25
1586.51,18.69,3.35,401.58,24,1482.93
17655.15,22.29,1.67,419.4,24,11424.99
4288.54,5.7,0.63,295.73,8,2164.46
8953.71,23.54,0.8,216.47,24,5791.77
8318.37,16.7,8.06,409.78,24,6108.03
7764.54,7.83,0.05,189.13,12,4063.65
10965.85,14.54,1.88,43.32,24,7056.98
4836.63,10.03,0.85,79.52,12,2543.76
5718.61,6.94,0.49,420.02,12,3125.21
8755.09,7.27,0.76,57.96,8,4197.3
6372.57,11.73,2.72,131.25,12,3418.06
9166.37,17.63,3.14,238.47,24,6135.02
3835.25,5.8,0.83,536.26,8,2045.91
11395.31,15.95,0.61,554.0,24,7478.03
2155.01,11.3,0.12,41.88,12,1126.97
3984.47,14.78,0.55,78.47,16,2257.88
7505.7,7.24,0.23,534.41,8,3775.89
8777.59,6.09,0.35,75.83,8,4206.03
5134.65,5.79,2.31,268.92,8,2591.98
6559.72,8.17,2.53,626.19,16,4019.71
7484.26,7.02,0.6,60.3,12,3885.47
5194.79,6.54,3.51,163.96,12,2854.94
3362.26,6.97,0.09,291.94,12,1849.19
4652.66,11.59,0.12,108.64,12,2436.18
11560.61,19.49,0.92,20.97,24,7337.48
5565.32,8.95,1.24,24.02,16,3138.74
5970.16,14.65,1.76,239.37,16,3483.95
6607.96,12.12,0.95,243.37,16,3796.72
4195.04,6.17,0.0,238.89,8,2084.69
8639.24,18.52,0.5,104.53,24,5512.02
2858.45,8.15,0.21,174.0,12,1546.13
12593.17,23.39,0.13,284.99,24,8051.84
2067.04,9.34,1.94,466.23,12,1321.61
11921.59,10.16,3.53,373.58,16,6911.23
7570.75,6.46,0.32,123.52,8,3650.51
9202.09,15.66,0.8,352.06,16,5267.2
5604.63,5.6,0.83,708.67,8,2952.84
9313.22,10.13,3.88,206.8,16,5416.79
2907.18,4.21,1.53,418.37,8,1574.74
4764.0,4.79,0.45,772.52,8,2569.91
15601.56,13.5,0.67,340.92,24,10012.09
8257.85,5.62,0.43,223.09,8,4017.6
7093.8,4.96,1.22,832.6,8,3716.19
12283.96,14.83,0.44,811.32,16,7152.81
3550.12,4.45,1.9,179.04,8,1796.03
3864.5,9.53,2.62,92.31,16,2300.64
10463.12,13.06,0.91,772.88,16,6155.76
4085.68,4.21,1.41,270.8,8,2075.21
17981.59,21.66,0.18,36.95,24,11308.66
7437.36,15.29,2.35,1036.68,24,5389.77
16513.53,18.83,1.44,80.68,24,10517.29
6124.26,8.03,2.6,135.53,16,3564.45
4558.61,10.21,0.34,143.43,12,2409.97
16835.85,13.09,1.29,90.93,24,10712.15
4934.44,7.14,0.08,208.71,8,2425.85
2019.34,9.21,1.87,115.25,16,1257.19
9324.75,14.54,2.04,608.86,16,5511.47
2380.65,6.77,0.14,37.34,8,1148.21
4303.4,15.83,0.24,381.25,16,2553.14
13673.6,23.16,1.1,96.45,24,8715.38
9531.28,11.24,0.15,134.12,12,4950.38
4524.65,7.7,0.05,515.98,8,2348.86
14065.46,19.98,3.63,759.63,24,9513.61
5603.99,7.53,0.41,1057.75,8,3077.95
22362.35,15.66,0.82,140.3,24,14162.26
5230.4,7.44,0.38,502.25,8,2686.03
9875.53,9.49,0.53,13.03,16,5473.53
7908.53,6.56,1.65,317.79,8,3914.23
7141.68,9.48,1.79,387.97,12,3887.25
2105.26,9.39,4.36,194.19,12,1312.19
5476.93,6.2,0.25,1035.68,12,3248.94
11123.37,19.12,4.4,153.41,24,7426.14
3131.32,12.62,0.04,129.05,16,1785.01
8710.34,21.24,0.21,154.14,24,5557.48
7944.36,11.85,0.45,65.43,12,4118.22
3067.77,6.79,2.93,116.58,8,1564.99
3348.77,6.32,4.47,161.31,12,1940.32
3929.08,10.09,4.77,454.19,12,2370.28
11829.11,6.7,3.38,221.87,12,6277.81
13862.71,18.52,2.42,221.12,24,9009.39
4464.05,8.34,0.03,250.54,12,2395.31
673.18,4.64,0.01,147.77,8,376.86
2534.1,4.26,0.94,98.87,8,1261.96
7063.67,9.22,1.02,439.61,16,4139.24
7169.61,15.5,0.58,262.92,24,4678.09
19083.49,18.97,2.49,249.65,24,12303.91
3768.11,6.29,0.89,157.56,12,2029.43
6221.34,10.28,4.64,190.87,16,3744.23
3156.56,11.24,1.25,154.81,12,1727.21
10825.46,15.11,3.06,245.7,16,6226.61
6900.23,7.72,0.29,159.78,8,3345.26
9209.56,13.87,1.56,288.82,16,5281.28
10511.26,23.36,0.84,101.77,24,6713.32
8656.04,10.05,2.48,512.46,12,4739.64
17068.18,18.41,0.59,135.42,24,10820.4
4761.61,7.39,2.0,127.03,12,2565.1
3558.51,9.36,0.14,182.4,12,1906.19
4016.67,10.83,1.68,22.78,12,2128.45
12561.83,21.65,1.41,85.37,24,8039.58
7168.46,12.97,1.22,355.85,24,4779.19
3156.09,6.26,0.87,254.09,8,1615.54
22837.53,16.74,0.59,355.44,24,14550.16
13054.79,14.18,1.64,231.43,16,7378.21
3079.29,5.33,0.12,605.33,8,1698.36
5206.61,11.56,1.64,380.17,16,3120.17
7686.17,13.63,1.57,405.04,24,5158.46
11439.35,9.84,1.46,351.27,16,6532.74
3936.6,4.64,2.79,627.02,8,2171.12
10674.36,19.31,0.01,484.51,24,6939.74
3841.37,15.02,0.29,261.85,24,2566.52
5290.18,11.23,0.04,237.14,12,2813.91
5874.81,9.46,1.4,303.92,12,3188.62
5991.91,6.06,0.07,110.37,8,2890.23
22296.28,10.7,1.93,131.95,16,12440.35
6953.36,11.54,1.15,262.5,12,3716.3
4073.42,17.61,1.92,525.63,24,2984.34
5250.95,17.98,0.01,304.71,24,3447.7
3490.01,21.13,2.17,415.24,24,2583.51
3674.35,8.59,0.69,648.32,16,2348.45
5983.52,5.0,1.21,382.36,8,3015.28
3486.12,6.93,2.78,232.09,8,1804.96
4568.45,21.61,1.77,194.35,24,3113.16
13655.2,18.92,0.38,224.93,24,8708.46
3857.84,7.8,3.73,113.3,8,1955.99
10645.95,18.71,1.18,72.77,24,6811.89
3900.34,19.67,0.55,118.9,24,2553.02
1440.55,4.62,0.38,581.83,8,916.37
1413.38,6.16,0.42,568.99,8,899.38
3222.92,9.4,0.82,407.03,12,1851.13
20520.64,22.36,1.49,49.35,24,13017.67
8886.24,7.25,0.51,93.35,12,4615.06
4309.63,21.12,1.15,173.1,24,2887.36
2109.33,6.51,0.96,202.74,8,1100.49
6334.24,9.63,1.53,352.07,16,3723.71
5046.74,10.09,3.32,204.54,16,3037.39
6385.28,8.71,0.65,564.6,12,3533.03
19766.44,22.99,2.42,357.85,24,12781.3
6956.24,9.65,0.55,93.31,16,3901.96
5124.27,9.44,2.28,215.87,12,2797.59
6853.7,10.03,0.51,252.92,12,3638.87
8902.78,8.11,3.54,263.13,16,5198.91
8479.7,13.16,0.05,268.18,16,4794.5
4387.52,8.49,1.51,76.38,12,2335.04
3784.79,5.63,0.51,56.96,8,1830.73
8452.3,17.52,1.53,351.29,24,5608.27
17729.98,21.5,0.89,209.68,24,11299.11
7978.41,14.64,1.06,369.11,16,4613.92
3658.92,9.88,1.01,301.33,12,2037.54
17993.72,13.74,2.17,1097.53,24,12024.07
2901.66,8.17,2.09,128.39,12,1614.43
5118.1,8.53,3.24,153.41,12,2801.74
4362.06,10.34,1.7,395.98,12,2461.29
6535.81,6.07,0.31,296.26,12,3486.81
3308.74,9.62,6.13,565.24,16,2380.44
14458.32,9.83,0.13,342.22,12,7563.83
8586.37,6.89,0.03,206.64,8,4158.62
9220.01,5.45,0.08,223.1,8,4467.13
5931.93,14.26,3.4,114.88,16,3489.12
3227.07,4.06,0.53,413.71,8,1703.58
3861.83,9.9,1.57,325.25,12,2170.93
7486.38,10.76,0.82,147.39,16,4231.47
3657.19,5.3,0.26,725.21,8,2021.97
3239.28,9.39,0.87,586.79,12,1935.98
2252.48,6.12,0.93,68.95,8,1116.39
7104.76,12.12,1.75,673.2,16,4302.51
3898.9,5.62,1.79,46.4,8,1908.21
10987.0,10.35,1.79,160.81,16,6214.53
4273.1,22.33,0.38,372.39,24,2900.73
7329.25,13.53,1.72,554.93,24,5023.81
19059.32,12.69,0.83,453.92,24,12251.55
5645.86,7.81,0.06,195.4,12,2979.81
14138.91,17.75,0.95,160.61,24,9027.4
7882.16,8.02,0.27,424.32,12,4229.38
21085.98,23.8,6.61,306.9,24,13938.41
15082.35,10.46,0.06,359.1,16,8473.57
5498.76,20.43,0.17,279.13,24,3603.85
13536.49,19.22,0.09,400.8,24,8699.0
13223.88,17.65,2.89,225.52,24,8651.53
4959.53,10.1,1.05,1489.48,12,3200.13
1366.11,9.63,1.87,348.91,16,1001.45
9102.53,8.3,0.67,162.95,16,5121.42
7816.71,13.78,1.7,398.27,24,5247.64
5434.54,10.43,0.64,477.48,12,3008.6
1569.92,7.63,2.35,221.45,8,881.31
3845.78,22.12,0.53,41.61,24,2477.09
3111.14,4.04,3.11,140.49,8,1598.57
8581.73,10.48,0.25,312.99,12,4541.22
6074.01,5.07,0.35,106.54,8,2933.72
18645.43,12.9,2.32,212.1,24,11995.3
9852.24,13.71,2.55,206.91,24,6499.05
5580.55,10.37,2.22,96.41,12,2980.08
11428.46,10.71,0.31,122.44,16,6367.29
3666.65,4.62,1.08,552.49,8,1977.47
8501.57,8.47,0.69,254.39,12,4491.02
8765.04,10.33,2.32,226.52,12,4671.15
4500.63,5.52,2.35,18.03,8,2195.11
16648.5,17.62,3.56,81.97,24,10782.41
8231.99,5.59,0.59,326.29,8,4048.51
6086.21,15.87,1.37,415.44,24,4143.64
10580.22,12.1,1.8,793.09,24,7189.59
5498.63,6.49,0.64,100.69,8,2664.25
3631.35,7.32,1.35,253.6,12,2015.38
5778.44,6.81,7.07,205.28,12,3295.38
17501.17,17.24,0.1,121.3,24,11043.73
14279.33,19.6,5.59,355.52,24,9608.21
9739.26,20.32,0.45,162.01,24,6227.09
9302.54,6.03,1.66,441.19,12,5013.33
8124.75,13.93,1.34,210.27,16,4637.06
4766.24,11.85,5.1,266.32,16,2998.65
7648.07,14.24,1.46,117.33,16,4339.11
4641.57,6.04,0.64,760.54,8,2511.23
7689.07,15.19,1.81,154.42,16,4395.49
21600.94,12.35,1.54,128.6,24,13740.22
8712.51,4.96,0.98,160.53,8,4221.34
5181.39,7.71,5.48,563.21,8,2795.49
5165.7,14.64,2.64,200.44,16,3066.9
9802.28,13.43,0.21,260.48,16,5528.06
13900.21,14.5,1.03,430.1,24,9021.56
3272.66,5.18,2.25,80.03,8,1633.48
23994.79,14.31,0.57,367.73,24,15279.85
8467.4,23.0,2.45,38.8,24,5536.37
5723.89,9.96,1.32,130.21,16,3277.77
1932.62,6.82,4.41,85.86,8,1045.54
1937.14,5.69,0.35,325.96,8,1053.21
5473.87,9.31,2.65,258.94,12,3007.68
8508.38,13.0,1.83,245.27,24,5614.8
9707.13,13.37,3.95,139.36,24,6492.62
9747.66,15.53,4.38,331.11,16,5736.48
6548.67,13.52,0.17,186.52,16,3700.02
9235.91,10.75,1.95,142.54,12,4864.85
9579.39,9.66,3.16,60.16,12,5048.84
2528.09,6.76,4.33,93.44,8,1329.65
20967.92,18.07,2.85,281.48,24,13531.68
4740.37,4.29,0.45,387.75,8,2410.53
3763.91,8.92,0.16,389.77,16,2255.98
7684.78,15.61,0.8,556.14,24,5169.18
8670.84,9.51,0.02,116.21,16,4830.42
3442.03,5.22,0.42,249.33,8,1740.0
3967.64,6.25,1.28,261.9,8,2012.97
3555.72,4.24,4.09,170.72,8,1842.43
16809.27,14.74,0.95,258.24,24,10751.47
13717.4,13.09,3.6,446.3,24,9132.98
7647.31,21.87,0.21,105.15,24,4866.39
3293.54,6.29,1.27,86.44,8,1625.01
3230.66,7.24,1.03,365.62,8,1697.5
11560.65,13.76,0.19,185.45,24,7358.73
4298.05,4.47,1.9,381.51,8,2229.09
6739.49,13.97,3.12,548.41,24,4769.54
6677.81,9.86,1.49,61.65,16,3781.25
5221.14,10.93,2.53,466.98,12,2960.38
8315.57,5.01,0.91,336.16,8,4098.87
3918.9,14.9,0.02,121.17,16,2214.26
12855.04,19.83,0.48,93.98,24,8148.95
14019.88,10.62,1.83,139.76,16,7878.3
3577.27,6.57,0.68,71.49,12,1888.51
9323.95,8.99,5.59,176.57,16,5494.31
8387.3,9.99,0.24,286.62,16,4761.23
6327.96,23.1,1.08,219.8,24,4170.84
1374.65,6.46,2.91,356.3,8,852.43
7602.82,9.66,6.37,284.03,12,4239.68
5048.49,9.73,0.6,192.59,16,2897.64
11897.34,15.49,0.28,240.64,24,7605.44
6621.02,12.69,0.86,63.25,16,3719.03
16848.44,17.99,2.31,239.7,24,10881.78
2554.8,4.18,2.86,473.36,8,1457.0
13121.18,14.73,1.8,1641.4,16,8052.41
4639.11,6.3,6.56,117.73,12,2656.71
16781.74,21.8,5.34,388.67,24,11173.06
5245.25,15.7,0.71,838.9,16,3299.86
6255.41,10.33,4.58,449.68,12,3555.0
4417.2,5.33,0.31,27.78,8,2115.44
12522.25,22.67,2.23,228.79,24,8156.97
16941.11,23.8,0.03,106.26,24,10678.86
3465.82,21.58,1.25,494.08,24,2530.42
15884.46,17.79,2.42,276.44,24,10305.21
7821.96,11.39,0.34,853.62,16,4707.84
6349.5,17.03,1.16,399.03,24,4282.26
4618.91,9.39,0.22,335.67,16,2706.01
11655.3,20.44,2.14,196.38,24,7589.72
18837.79,18.79,2.59,23.77,24,12043.39
5293.39,14.42,2.21,438.95,24,3729.75
2055.93,6.34,3.43,122.51,8,1097.21
3652.37,5.31,0.29,486.11,8,1928.35
3925.1,5.2,1.36,197.62,8,1969.71
1862.57,4.73,1.98,350.77,8,1062.27
2980.51,4.69,0.77,207.51,8,1512.1
3059.44,6.11,0.81,396.85,8,1623.33
6064.15,12.93,2.41,93.87,16,3503.35
1145.39,5.13,2.68,441.87,8,771.61
5281.66,7.98,0.05,181.46,8,2579.68
4864.12,7.44,0.0,375.65,8,2455.13
3281.11,5.37,1.24,438.85,8,1754.1
10605.05,16.97,0.55,299.05,24,6848.25
9309.16,4.09,0.45,88.73,8,4465.58
21288.0,20.49,5.31,326.15,24,13964.39
3067.1,4.87,1.77,236.13,8,1585.64
10579.03,9.03,1.43,172.38,16,5977.23
2315.39,12.91,0.5,127.81,16,1357.82
6232.77,11.43,0.71,109.53,12,3267.51
10631.44,17.37,2.46,494.43,24,7126.45
3115.24,8.59,1.25,342.6,16,1931.6
5922.03,6.04,1.23,143.44,8,2894.66
7496.35,13.77,1.41,434.16,24,5040.9
16722.12,13.05,7.67,137.87,24,11206.39
2488.92,5.54,3.63,109.38,8,1302.27
7747.28,21.22,0.01,203.98,24,4961.82
7583.6,11.2,2.9,313.04,12,4121.39
3627.43,6.33,0.71,70.66,12,1914.92
7947.8,8.36,2.44,605.01,12,4413.63
5533.97,12.37,0.45,238.88,16,3178.04
13729.37,23.94,0.49,356.17,24,8830.53
10762.95,8.49,0.97,568.44,12,5791.45
4747.55,5.72,0.36,208.82,8,2343.25
8444.61,8.82,0.46,372.6,12,4503.11
6974.44,6.23,0.24,251.16,8,3414.65
11296.29,12.3,0.35,86.28,16,6280.36
3767.15,11.24,4.03,181.07,12,2147.85
2826.5,9.63,0.37,936.17,12,1852.17
2170.24,5.89,2.48,284.79,8,1193.69
4234.44,7.96,0.25,414.24,8,2176.11
10516.41,10.44,1.16,190.17,16,5937.08
7524.09,5.21,1.96,19.13,8,3623.38
6094.24,11.46,0.23,692.33,12,3422.19
2974.88,6.78,0.71,483.49,8,1614.52
7736.91,17.68,0.19,364.26,24,5052.59
8577.11,6.52,0.47,691.52,12,4704.06
3673.55,10.37,2.0,52.27,12,1975.68
3337.02,8.31,1.32,425.63,12,1934.89
5612.23,10.59,0.2,62.12,16,3129.84
7887.28,13.8,1.12,522.61,24,5305.85
5638.5,11.2,1.58,192.81,12,3027.49
4741.12,13.71,2.22,244.8,16,2831.92
5226.8,14.6,4.83,460.53,16,3326.11
8015.58,14.87,3.19,212.3,16,4670.08
20453.98,10.53,2.89,113.18,16,11464.48
12335.93,13.05,2.25,214.95,24,8035.05
13602.31,10.19,1.55,629.1,16,7852.69
4285.16,7.01,0.86,421.89,12,2403.45
8038.49,20.92,1.02,213.4,24,5235.42
3114.29,8.77,0.84,265.81,12,1737.37
8002.3,13.09,4.14,89.07,16,4654.8
5048.67,11.1,0.4,176.61,12,2677.32
6075.99,8.02,0.69,93.07,12,3179.78
4360.16,10.83,1.15,70.53,16,2491.16
6802.63,7.98,0.72,56.56,8,3268.37
9351.14,13.82,0.44,297.8,24,6051.45
11325.63,20.06,1.1,497.67,24,7447.13
4448.77,6.8,0.11,577.35,8,2337.7
13510.06,13.95,0.73,329.87,16,7627.71
14343.5,16.75,1.3,144.17,24,9177.05
16472.66,12.21,4.24,336.82,16,9437.72
2088.58,6.72,0.11,156.21,8,1054.68
8141.15,4.44,5.01,712.97,8,4248.98
2815.66,5.31,4.22,158.91,8,1489.15
8918.25,12.19,0.46,381.16,16,5106.88
4370.59,8.66,1.33,404.59,12,2456.5
3681.61,7.06,1.31,96.75,8,1814.07
19726.53,15.16,1.8,85.36,24,12564.6
4397.49,6.42,1.77,428.45,8,2291.77
5437.16,9.8,1.21,79.82,16,3091.95
6921.1,8.9,1.07,184.86,16,3949.16
12177.5,8.07,1.28,33.92,16,6788.56
18758.3,17.03,0.88,145.96,24,11909.99
16273.66,13.67,0.24,312.04,24,10382.23
3683.4,7.87,0.71,105.19,8,1805.27
9147.98,14.58,0.57,210.77,24,5891.55
6085.87,5.74,0.79,333.86,8,3036.28
9287.49,9.44,1.13,365.38,16,5336.7
3427.19,5.83,1.55,672.21,8,1920.03
1411.89,9.55,7.59,392.52,12,1151.29
5565.34,5.05,0.73,134.73,8,2711.16
10181.31,12.7,4.17,78.47,24,6777.62
10564.71,18.34,0.87,365.76,24,6883.65
2708.94,11.32,0.02,619.51,12,1648.1
10069.33,18.66,1.59,351.43,24,6627.35
7200.03,15.59,0.56,311.05,16,4133.92
7959.66,20.33,2.09,139.6,24,5239.05
3495.63,7.96,0.64,358.17,8,1812.12
4673.72,18.51,0.35,385.21,24,3156.24
3670.9,9.75,1.42,202.99,12,2017.05
3742.03,7.23,0.32,28.33,8,1795.29
4920.68,11.87,3.07,394.98,16,3040.21
9143.76,14.62,2.1,587.55,16,5404.95
5093.81,13.44,0.15,291.41,16,2944.31
12724.11,9.16,0.38,317.25,16,7171.48
6347.86,15.56,1.56,158.51,16,3645.83
8564.33,7.16,0.31,306.34,8,4192.58
6124.89,6.51,1.74,504.91,12,3412.58
8952.05,8.73,1.92,120.87,12,4709.21
4331.84,11.04,1.41,284.51,12,2389.6
2405.32,9.31,0.53,456.78,12,1442.29
8023.01,6.51,1.19,410.88,12,4327.93
14137.0,9.77,2.99,265.51,16,8056.72
6324.13,8.42,4.19,244.04,16,3802.09
16684.45,20.4,0.42,31.43,24,10512.63
17792.03,16.19,5.23,338.39,24,11771.22
3972.33,4.01,4.2,349.27,8,2111.32
4238.44,11.26,5.29,500.65,12,2566.06
5091.36,15.77,1.09,819.73,16,3225.44
3960.31,7.19,0.08,514.6,8,2081.01
15782.24,17.6,0.28,136.91,24,9988.78
5910.23,4.07,2.36,429.26,8,3023.12
4449.27,6.1,0.41,174.08,12,2368.93
4091.62,7.53,0.5,851.46,12,2470.54
3567.76,16.69,1.6,211.41,24,2480.69
4279.95,7.46,1.02,327.13,12,2367.07
9210.0,14.8,1.11,333.73,24,6038.24
19746.97,13.2,0.98,286.32,24,12610.36
12295.4,9.93,2.01,211.42,12,6465.2
5127.12,13.96,0.24,241.41,16,2945.04
7137.98,18.75,0.4,602.86,24,4815.82
8704.03,11.23,0.54,50.1,16,4845.35
2580.54,10.52,0.23,184.09,12,1408.32
9313.51,21.92,0.69,241.82,24,6021.33
1334.65,6.19,2.65,218.14,8,774.68
14965.38,18.48,4.55,125.59,24,9833.34
2762.5,7.31,0.76,107.54,8,1369.87
5493.17,6.3,1.26,308.52,8,2755.08
7792.2,10.93,0.55,461.99,16,4527.04
4656.81,4.82,0.33,139.8,8,2272.86
3925.12,15.45,0.49,642.35,24,2828.9
2347.77,5.99,2.2,232.54,8,1251.9
3863.72,4.89,3.54,260.92,8,2011.7
7877.86,6.68,2.38,247.24,8,3888.25
3844.04,6.48,0.48,412.68,8,1995.08
