route_length,traffic_score,vehicle_type,delivery_count,co2_kg
11.54,10,two_wheeler,15,1.54
16.19,8,van,13,3.3
24.79,10,mini_truck,69,8.09
4.87,8,ev,8,0.36
16.01,10,mini_truck,38,4.72
9.08,6,mini_truck,50,2.27
8.22,10,two_wheeler,31,1.16
19.04,1,two_wheeler,15,1.48
24.97,4,mini_truck,52,5.58
9.29,1,mini_truck,27,1.54
24.84,4,two_wheeler,30,2.53
23.74,1,two_wheeler,40,2.02
0.54,8,two_wheeler,88,0.08
21.56,1,two_wheeler,24,1.73
10.92,3,ev,35,0.67
10.49,7,two_wheeler,24,1.24
28.77,8,van,31,6.28
22.91,5,two_wheeler,49,2.65
7.03,5,ev,31,0.48
40.92,1,mini_truck,60,7.58
5.87,6,van,15,1.09
17.16,3,ev,25,1.01
21.94,3,two_wheeler,21,2.02
2.37,10,two_wheeler,10,0.31
15.79,7,two_wheeler,22,1.86
20.41,1,van,11,2.66
24.09,6,two_wheeler,27,2.73
1.53,9,two_wheeler,22,0.2
10.16,7,two_wheeler,72,1.42
2.85,2,two_wheeler,35,0.26
9.37,7,mini_truck,70,2.64
10.04,8,van,42,2.27
11.94,6,van,61,2.59
44.76,1,van,13,5.88
9.95,5,van,27,1.81
24.18,4,ev,15,1.47
41.1,10,ev,19,3.5
33.92,9,two_wheeler,12,4.26
4.7,3,van,35,0.78
12.19,5,van,57,2.46
29.88,8,two_wheeler,28,3.79
16.34,4,ev,25,1.03
12.84,2,two_wheeler,19,1.09
20.09,2,mini_truck,24,3.55
11.65,1,mini_truck,18,1.87
15.05,6,two_wheeler,9,1.6
20.91,6,ev,13,1.42
3.59,7,van,18,0.71
4.28,3,van,31,0.7
7.39,5,two_wheeler,14,0.75
9.78,6,ev,4,0.64
58.63,5,van,13,10.14
12.15,1,van,36,1.74
1.36,7,mini_truck,30,0.34
21.41,2,van,36,3.3
33.98,3,two_wheeler,7,2.97
24.17,10,van,32,5.83
3.26,9,mini_truck,23,0.87
8.04,9,van,2,1.65
5.34,7,van,12,1.03
15.23,9,two_wheeler,9,1.89
20.0,2,mini_truck,33,3.65
21.96,9,van,22,4.87
40.47,9,mini_truck,20,10.66
12.35,3,van,57,2.2
7.6,6,mini_truck,37,1.82
16.22,1,van,10,2.11
13.9,5,mini_truck,26,3.02
17.82,8,mini_truck,30,4.63
14.36,7,two_wheeler,53,1.88
1.67,7,van,18,0.33
15.73,4,ev,45,1.06
11.75,4,two_wheeler,40,1.24
16.28,10,two_wheeler,23,2.23
7.02,2,ev,13,0.37
3.27,3,mini_truck,45,0.67
16.16,6,mini_truck,32,3.8
7.6,9,two_wheeler,11,0.95
22.47,3,van,28,3.62
34.29,8,two_wheeler,65,4.93
40.17,10,van,21,9.31
18.13,1,van,33,2.57
0.84,9,mini_truck,45,0.24
8.82,10,mini_truck,10,2.35
20.96,1,mini_truck,16,3.33
7.48,8,mini_truck,49,2.08
31.0,3,mini_truck,5,5.47
10.02,10,van,54,2.6
3.73,4,two_wheeler,54,0.41
17.84,8,van,42,4.04
3.79,10,two_wheeler,36,0.54
21.75,5,two_wheeler,19,2.26
28.4,5,van,17,4.99
7.22,7,two_wheeler,33,0.88
3.56,7,two_wheeler,54,0.47
8.29,2,mini_truck,38,1.54
11.33,3,ev,30,0.68
38.62,8,mini_truck,25,9.86
7.5,8,mini_truck,9,1.8
23.41,1,van,10,3.04
17.44,5,two_wheeler,18,1.81
10.84,10,mini_truck,11,2.89
2.36,2,two_wheeler,10,0.19
13.84,1,two_wheeler,14,1.07
8.52,1,van,35,1.21
2.46,5,ev,72,0.19
3.91,4,ev,30,0.25
6.45,4,mini_truck,22,1.3
17.51,3,two_wheeler,50,1.79
7.6,8,van,21,1.6
16.77,9,mini_truck,23,4.47
13.16,5,mini_truck,16,2.75
18.13,1,two_wheeler,28,1.48
29.19,9,ev,3,2.23
34.94,9,two_wheeler,27,4.64
38.57,6,ev,16,2.65
19.36,3,van,43,3.28
2.6,3,van,18,0.4
2.66,6,two_wheeler,22,0.3
6.48,3,two_wheeler,10,0.57
6.41,9,van,11,1.36
5.11,7,van,25,1.04
15.87,8,van,28,3.42
38.03,4,van,15,6.23
12.06,5,van,35,2.26
13.62,8,van,74,3.43
17.96,2,van,14,2.56
12.74,8,mini_truck,19,3.18
10.23,9,van,11,2.18
31.15,2,van,29,4.69
14.29,4,ev,35,0.93
9.9,3,van,20,1.55
24.92,2,van,85,4.5
12.92,8,two_wheeler,19,1.59
22.12,8,two_wheeler,20,2.72
13.32,2,van,14,1.9
8.06,10,ev,16,0.68
11.28,9,van,26,2.54
13.62,8,two_wheeler,69,1.98
21.66,4,ev,16,1.32
5.02,4,van,22,0.84
25.76,8,van,53,6.06
22.64,6,van,13,4.15
12.46,2,two_wheeler,13,1.04
11.22,5,van,23,2.02
16.53,10,ev,14,1.38
20.72,6,ev,41,1.56
19.49,9,mini_truck,12,4.98
6.09,10,two_wheeler,108,1.09
1.44,3,van,3,0.21
21.83,2,van,21,3.19
9.39,9,van,8,1.98
16.64,4,van,32,2.9
19.4,7,van,26,3.94
4.87,8,mini_truck,48,1.35
16.16,8,mini_truck,48,4.47
19.62,4,two_wheeler,64,2.24
8.0,5,van,8,1.36
12.92,7,van,22,2.59
12.54,3,van,19,1.95
15.12,2,van,20,2.2
39.34,3,mini_truck,64,8.55
14.62,6,van,24,2.79
4.62,6,van,12,0.84
22.34,3,ev,37,1.38
17.44,3,two_wheeler,13,1.56
4.93,8,ev,23,0.39
3.11,7,ev,35,0.24
18.86,4,two_wheeler,27,1.9
9.82,8,mini_truck,35,2.6
54.82,6,van,51,11.51
15.71,2,two_wheeler,56,1.52
3.17,2,ev,59,0.2
8.71,2,two_wheeler,44,0.81
17.16,10,van,13,3.86
10.41,1,two_wheeler,4,0.78
8.74,1,van,38,1.26
10.05,6,two_wheeler,33,1.16
23.74,1,van,12,3.11
18.48,7,mini_truck,18,4.36
5.24,6,mini_truck,22,1.19
8.63,9,two_wheeler,56,1.27
19.11,9,van,19,4.19
11.06,5,mini_truck,22,2.37
9.58,4,van,35,1.69
1.52,2,two_wheeler,93,0.17
47.65,4,van,26,8.13
25.21,6,ev,16,1.73
5.21,2,van,48,0.84
4.73,9,mini_truck,5,1.18
12.96,6,ev,33,0.95
19.74,2,two_wheeler,31,1.76
8.78,3,van,51,1.53
10.76,4,two_wheeler,8,1.01
4.48,3,van,38,0.75
31.66,9,two_wheeler,16,4.04
2.54,3,van,43,0.43
14.32,4,ev,41,0.96
7.56,8,ev,51,0.65
5.84,10,van,6,1.28
31.71,3,ev,15,1.8
12.34,2,van,32,1.88
11.57,4,van,10,1.86
37.25,10,van,30,8.92
18.93,6,van,8,3.41
6.24,10,mini_truck,45,1.88
5.24,10,two_wheeler,15,0.7
58.78,9,mini_truck,33,16.23
8.88,5,van,8,1.51
3.23,7,mini_truck,27,0.79
10.51,3,van,27,1.69
24.45,6,mini_truck,26,5.63
37.21,10,ev,4,3.0
27.42,7,mini_truck,21,6.55
7.0,10,van,36,1.71
33.1,2,van,17,4.77
16.26,10,van,41,4.05
33.06,6,van,29,6.43
31.62,8,two_wheeler,30,4.04
20.15,2,two_wheeler,21,1.73
10.91,7,mini_truck,29,2.68
16.22,10,two_wheeler,20,2.2
30.4,4,mini_truck,44,6.61
13.9,7,two_wheeler,16,1.6
33.34,3,van,38,5.56
10.72,8,ev,31,0.87
2.73,6,mini_truck,6,0.58
54.57,1,van,28,7.58
36.8,4,two_wheeler,23,3.65
8.03,5,mini_truck,8,1.63
24.16,8,two_wheeler,38,3.17
10.07,2,two_wheeler,28,0.89
29.47,8,two_wheeler,20,3.63
15.24,1,van,7,1.96
12.1,4,van,42,2.18
0.61,3,two_wheeler,21,0.06
13.04,5,ev,32,0.9
37.44,2,two_wheeler,27,3.29
37.54,7,van,17,7.38
19.8,1,ev,77,1.2
15.64,6,two_wheeler,48,1.91
7.25,2,van,49,1.17
10.0,4,two_wheeler,5,0.93
15.78,6,van,26,3.04
12.63,7,mini_truck,21,3.02
35.46,3,two_wheeler,23,3.29
28.62,8,mini_truck,33,7.52
15.44,9,mini_truck,38,4.34
4.1,7,van,16,0.8
1.47,5,two_wheeler,33,0.16
12.37,9,van,44,2.97
1.62,2,two_wheeler,53,0.16
29.73,9,van,8,6.26
11.07,7,two_wheeler,23,1.31
18.22,10,mini_truck,20,5.03
21.46,2,van,12,3.03
6.24,1,van,34,0.89
6.78,8,two_wheeler,6,0.79
12.15,10,van,47,3.09
9.36,8,ev,20,0.73
8.17,3,mini_truck,21,1.53
1.96,7,van,3,0.36
23.25,5,ev,19,1.52
11.57,2,van,29,1.74
4.11,8,two_wheeler,19,0.5
22.84,2,ev,5,1.16
19.34,6,two_wheeler,19,2.13
20.92,4,van,22,3.52
12.46,10,two_wheeler,17,1.67
6.71,1,ev,33,0.35
47.28,4,van,23,7.98
17.03,4,ev,37,1.12
13.16,9,mini_truck,28,3.57
7.56,2,mini_truck,24,1.34
29.74,2,van,13,4.22
14.1,2,mini_truck,1,2.28
6.11,8,two_wheeler,18,0.75
22.22,2,van,77,3.92
19.6,2,van,25,2.91
18.3,5,two_wheeler,25,1.94
19.91,7,van,18,3.93
28.89,3,van,19,4.5
14.4,4,mini_truck,26,2.94
9.23,9,van,20,2.03
14.95,8,two_wheeler,50,2.04
7.77,8,van,24,1.65
31.08,4,two_wheeler,61,3.51
3.13,1,van,20,0.42
15.85,10,van,18,3.63
22.04,7,two_wheeler,18,2.56
13.25,1,ev,34,0.7
14.33,7,van,20,2.85
4.17,8,ev,59,0.37
18.44,6,ev,34,1.35
6.6,1,mini_truck,25,1.08
13.16,8,van,13,2.69
37.42,7,mini_truck,44,9.69
17.96,3,two_wheeler,32,1.72
30.45,7,mini_truck,36,7.67
7.46,3,two_wheeler,5,0.65
11.14,1,two_wheeler,28,0.91
15.29,9,ev,54,1.4
19.78,6,two_wheeler,29,2.26
21.86,7,mini_truck,20,5.2
19.62,5,mini_truck,26,4.26
22.27,6,mini_truck,29,5.18
3.74,1,two_wheeler,42,0.32
24.01,9,two_wheeler,13,3.03
5.43,10,ev,15,0.46
5.98,4,two_wheeler,16,0.58
30.95,7,van,36,6.52
13.56,10,two_wheeler,18,1.83
14.16,6,mini_truck,27,3.27
9.94,5,ev,15,0.64
9.8,5,van,28,1.79
10.06,8,ev,51,0.87
7.03,5,van,5,1.18
2.11,2,two_wheeler,46,0.2
9.49,5,van,18,1.67
13.82,6,ev,24,0.98
2.6,8,two_wheeler,31,0.33
37.33,7,van,35,7.84
2.35,6,van,22,0.45
17.95,10,van,55,4.68
25.17,2,mini_truck,22,4.42
30.91,3,ev,8,1.71
20.28,5,van,10,3.47
2.5,2,two_wheeler,16,0.21
1.27,5,van,13,0.22
32.99,6,van,41,6.69
5.97,3,van,12,0.91
9.89,3,ev,25,0.58
39.13,3,van,77,7.41
3.89,5,van,38,0.74
15.07,10,ev,17,1.28
2.58,4,two_wheeler,19,0.25
29.62,5,ev,38,2.08
40.08,3,van,4,5.89
41.55,7,van,22,8.33
13.22,9,ev,15,1.06
2.13,7,two_wheeler,37,0.26
28.41,6,mini_truck,41,6.89
1.05,2,two_wheeler,8,0.09
20.37,2,two_wheeler,3,1.63
24.05,5,van,39,4.57
4.01,2,two_wheeler,31,0.36
14.56,10,van,25,3.42
7.44,1,ev,15,0.37
8.84,3,van,44,1.5
8.02,4,two_wheeler,62,0.91
13.48,7,van,21,2.69
5.34,5,van,22,0.96
7.3,1,van,4,0.93
4.91,8,van,27,1.05
25.64,1,ev,29,1.33
6.74,3,two_wheeler,13,0.6
18.21,4,two_wheeler,26,1.83
6.09,6,mini_truck,17,1.36
15.67,8,mini_truck,11,3.8
9.08,8,van,31,1.98
20.72,3,two_wheeler,43,2.06
14.4,8,ev,19,1.11
4.79,10,two_wheeler,40,0.7
13.83,8,two_wheeler,2,1.59
19.68,3,two_wheeler,23,1.83
39.08,1,van,29,5.45
13.39,7,mini_truck,16,3.14
16.88,8,van,13,3.45
29.58,5,ev,12,1.89
12.2,3,van,29,1.97
13.8,2,two_wheeler,23,1.19
3.75,6,van,33,0.74
14.15,4,mini_truck,6,2.68
20.86,8,mini_truck,25,5.32
32.28,9,van,14,6.95
8.26,6,two_wheeler,61,1.05
8.91,10,van,29,2.13
14.73,2,two_wheeler,37,1.34
8.0,2,van,27,1.2
13.94,2,van,16,2.0
9.12,3,mini_truck,19,1.7
10.42,5,van,12,1.8
34.12,5,two_wheeler,30,3.69
4.68,5,mini_truck,15,0.98
8.62,5,van,10,1.47
49.44,7,mini_truck,33,12.33
22.96,9,two_wheeler,49,3.29
10.89,9,ev,36,0.94
9.51,9,mini_truck,10,2.41
11.72,4,mini_truck,14,2.29
25.86,1,van,20,3.49
4.87,1,van,12,0.64
15.79,7,van,39,3.36
6.19,2,van,38,0.96
46.95,10,mini_truck,6,12.29
22.31,8,two_wheeler,33,2.88
25.5,1,van,66,4.03
42.08,10,van,12,9.43
13.1,5,two_wheeler,17,1.35
8.64,5,mini_truck,41,1.98
24.88,9,two_wheeler,37,3.42
26.39,10,mini_truck,13,7.1
18.97,7,van,31,3.93
7.68,5,mini_truck,10,1.57
7.61,6,two_wheeler,8,0.8
9.15,9,van,38,2.15
16.35,4,van,47,3.0
10.58,4,two_wheeler,34,1.09
12.74,4,van,11,2.06
18.49,10,van,20,4.27
1.65,1,mini_truck,23,0.27
6.79,9,van,39,1.6
12.47,10,two_wheeler,31,1.76
15.0,8,van,23,3.18
13.2,7,van,16,2.59
7.29,5,two_wheeler,17,0.75
62.03,3,two_wheeler,31,5.93
24.85,5,mini_truck,20,5.28
33.86,6,van,22,6.42
4.45,5,two_wheeler,44,0.51
22.23,4,van,33,3.89
37.61,5,van,27,6.85
31.58,7,mini_truck,24,7.62
18.44,6,two_wheeler,91,2.58
11.82,7,van,50,2.61
21.63,5,ev,20,1.42
25.03,7,van,25,5.07
20.55,5,van,24,3.7
20.09,2,two_wheeler,22,1.73
46.13,4,van,29,7.96
18.48,1,ev,16,0.91
6.79,10,mini_truck,32,1.96
5.38,1,two_wheeler,43,0.46
30.47,6,van,27,5.89
47.51,10,ev,14,3.98
7.57,1,mini_truck,39,1.31
11.39,1,two_wheeler,11,0.87
8.41,5,two_wheeler,68,1.03
38.28,2,two_wheeler,37,3.48
30.07,2,van,32,4.57
28.53,6,van,48,5.93
12.23,3,van,11,1.85
18.1,6,two_wheeler,36,2.12
13.52,1,two_wheeler,16,1.06
5.9,1,two_wheeler,20,0.47
8.79,1,mini_truck,12,1.38
13.21,5,two_wheeler,31,1.43
10.84,2,two_wheeler,30,0.96
4.55,1,mini_truck,27,0.75
10.1,1,ev,86,0.63
3.67,2,van,27,0.55
19.8,2,van,46,3.16
16.31,10,van,22,3.79
13.13,5,two_wheeler,27,1.41
14.91,3,van,21,2.34
12.18,1,two_wheeler,15,0.95
3.88,1,van,33,0.55
15.99,8,van,40,3.6
23.54,4,van,8,3.75
8.84,8,two_wheeler,8,1.04
1.65,10,two_wheeler,83,0.28
10.09,7,two_wheeler,17,1.17
33.42,8,van,38,7.47
4.6,7,two_wheeler,13,0.52
16.51,8,ev,7,1.22
8.56,4,van,62,1.65
12.96,1,ev,25,0.66
23.44,2,ev,58,1.44
16.6,2,two_wheeler,19,1.41
16.79,7,two_wheeler,13,1.91
18.1,7,ev,58,1.52
22.48,7,van,31,4.65
9.13,9,two_wheeler,34,1.24
11.01,3,van,31,1.79
45.03,3,two_wheeler,46,4.53
4.53,7,two_wheeler,31,0.55
7.21,5,two_wheeler,26,0.77
7.87,3,two_wheeler,25,0.74
18.79,3,mini_truck,30,3.64
39.39,1,mini_truck,12,6.17
7.28,6,two_wheeler,60,0.92
14.02,1,mini_truck,19,2.25
3.55,7,van,16,0.7
21.25,10,two_wheeler,8,2.75
18.77,7,two_wheeler,52,2.45
29.49,2,mini_truck,35,5.42
32.94,10,mini_truck,23,9.2
7.49,4,ev,17,0.46
2.85,5,van,16,0.5
11.42,1,mini_truck,45,2.01
18.97,6,mini_truck,25,4.35
3.37,10,van,16,0.77
30.25,3,two_wheeler,34,2.92
12.94,9,van,10,2.74
8.32,2,van,21,1.22
4.7,9,two_wheeler,17,0.6
4.32,6,van,34,0.86
10.81,2,two_wheeler,38,0.99
17.11,4,van,10,2.75
6.92,3,mini_truck,43,1.4
25.27,1,van,12,3.31
15.91,7,mini_truck,27,3.88
85.83,5,ev,62,6.53
40.21,8,ev,46,3.42
7.84,2,ev,26,0.43
45.45,6,mini_truck,17,10.12
33.89,10,van,21,7.85
24.68,9,two_wheeler,71,3.8
22.51,1,ev,3,1.06
2.98,6,van,46,0.62
4.27,1,two_wheeler,23,0.34
16.61,6,two_wheeler,20,1.84
20.42,3,van,21,3.2
17.65,8,van,22,3.73
18.1,5,ev,100,1.54
46.35,6,ev,15,3.17
26.58,8,two_wheeler,42,3.54
16.5,8,van,55,3.91
5.58,2,ev,49,0.33
14.55,7,mini_truck,34,3.64
10.99,5,van,15,1.92
2.44,6,van,33,0.48
7.69,5,van,41,1.47
10.25,9,ev,23,0.85
36.73,10,van,15,8.32
9.76,7,mini_truck,24,2.36
7.66,7,van,11,1.47
12.53,3,mini_truck,7,2.23
22.15,2,van,18,3.2
5.45,8,van,22,1.15
1.95,4,two_wheeler,45,0.21
20.43,3,mini_truck,6,3.62
8.4,6,mini_truck,23,1.91
13.64,6,two_wheeler,24,1.53
26.12,4,van,49,4.83
26.05,3,ev,42,1.63
1.27,7,ev,26,0.1
17.02,7,ev,16,1.24
12.18,3,ev,35,0.74
8.94,7,two_wheeler,24,1.06
14.75,8,two_wheeler,16,1.79
9.4,1,two_wheeler,45,0.81
5.06,4,two_wheeler,17,0.49
13.58,8,van,34,2.99
13.3,2,van,8,1.85
15.73,6,van,47,3.26
9.9,2,mini_truck,30,1.79
32.85,2,two_wheeler,31,2.93
52.37,1,two_wheeler,39,4.44
6.91,7,van,38,1.47
0.99,9,van,7,0.21
21.77,7,mini_truck,17,5.12
6.47,6,two_wheeler,38,0.76
26.47,1,van,68,4.21
5.66,8,two_wheeler,39,0.75
5.63,4,two_wheeler,53,0.62
14.25,2,van,26,2.12
54.97,4,two_wheeler,13,5.25
25.09,8,mini_truck,42,6.8
41.28,1,van,17,5.51
10.38,3,ev,12,0.58
31.04,8,mini_truck,7,7.4
19.63,2,mini_truck,26,3.49
35.42,2,mini_truck,16,6.08
17.43,9,two_wheeler,89,2.83
12.48,3,ev,39,0.77
6.87,10,ev,26,0.6
11.17,6,ev,13,0.76
4.61,7,van,18,0.91
13.54,5,van,47,2.65
29.34,6,van,14,5.4
8.61,7,van,35,1.81
11.92,8,mini_truck,17,2.95
52.59,1,van,19,7.07
6.47,4,two_wheeler,40,0.68
36.26,2,two_wheeler,50,3.45
9.04,10,van,58,2.38
4.91,2,two_wheeler,35,0.44
23.3,10,van,9,5.16
9.77,9,two_wheeler,65,1.47
9.12,2,van,11,1.28
7.26,7,ev,33,0.56
10.02,1,ev,75,0.6
7.36,9,mini_truck,18,1.92
1.96,9,two_wheeler,27,0.26
3.62,9,two_wheeler,18,0.47
29.93,1,van,9,3.87
12.83,4,van,50,2.38
13.04,4,two_wheeler,37,1.36
11.13,6,ev,11,0.75
10.15,2,mini_truck,10,1.7
3.41,4,van,37,0.6
19.1,3,ev,28,1.14
13.99,4,van,8,2.23
33.41,9,two_wheeler,17,4.27
8.08,10,two_wheeler,18,1.09
15.93,6,two_wheeler,8,1.68
10.76,7,two_wheeler,47,1.38
3.23,7,van,23,0.65
19.1,8,ev,15,1.46
6.72,9,van,46,1.62
28.71,4,ev,45,1.94
8.67,1,two_wheeler,10,0.66
13.17,8,two_wheeler,64,1.89
5.98,9,two_wheeler,20,0.77
20.89,10,van,10,4.64
3.25,10,van,18,0.74
16.01,3,mini_truck,6,2.84
27.49,5,van,43,5.3
1.72,3,two_wheeler,17,0.16
4.79,8,mini_truck,19,1.19
11.59,1,van,36,1.66
18.92,8,two_wheeler,26,2.38
7.84,6,ev,11,0.53
1.29,9,van,30,0.29
14.0,8,van,22,2.95
6.94,8,mini_truck,61,2.0
45.38,4,mini_truck,15,8.89
12.55,2,mini_truck,28,2.25
15.73,1,mini_truck,57,2.89
9.87,10,two_wheeler,17,1.32
2.93,8,two_wheeler,17,0.36
17.14,9,two_wheeler,20,2.22
13.98,6,ev,30,1.01
16.4,2,van,16,2.35
11.23,8,van,24,2.39
4.43,6,ev,9,0.3
43.95,3,two_wheeler,9,3.87
8.38,2,van,53,1.37
15.09,5,two_wheeler,23,1.59
24.81,5,mini_truck,37,5.6
54.91,8,mini_truck,24,13.97
7.95,7,ev,4,0.55
18.69,2,mini_truck,6,3.09
10.98,4,ev,6,0.64
8.56,7,two_wheeler,33,1.05
17.01,6,two_wheeler,49,2.08
18.47,9,ev,62,1.74
11.48,5,ev,65,0.88
12.25,8,van,29,2.65
27.98,5,van,11,4.8
3.17,6,van,23,0.6
22.75,2,ev,27,1.26
9.46,3,mini_truck,23,1.79
24.47,5,two_wheeler,43,2.77
47.4,10,two_wheeler,3,6.02
19.77,5,mini_truck,43,4.56
2.48,3,two_wheeler,11,0.22
18.65,5,mini_truck,12,3.84
6.92,5,van,45,1.34
8.27,2,van,25,1.23
11.17,7,ev,39,0.88
25.57,1,van,15,3.39
20.19,10,van,31,4.85
16.93,3,two_wheeler,27,1.59
36.6,2,van,12,5.17
12.68,3,van,24,2.01
9.49,5,ev,13,0.61
9.18,10,two_wheeler,17,1.23
20.75,9,van,61,5.26
5.95,10,van,13,1.34
15.74,2,van,26,2.34
4.13,3,ev,21,0.24
24.08,2,two_wheeler,20,2.06
9.34,8,ev,21,0.73
9.16,6,ev,16,0.63
17.02,1,ev,11,0.82
18.34,9,mini_truck,18,4.8
19.32,1,van,23,2.64
35.9,9,mini_truck,75,11.38
13.86,6,two_wheeler,37,1.63
24.79,1,ev,9,1.19
8.55,5,van,20,1.52
16.03,2,van,73,2.79
10.84,5,van,11,1.86
12.08,10,ev,55,1.17
17.83,8,mini_truck,48,4.93
21.1,9,two_wheeler,30,2.83
5.15,9,van,22,1.14
13.12,7,mini_truck,49,3.46
4.26,10,van,23,0.99
42.14,7,two_wheeler,13,4.8
4.31,8,two_wheeler,49,0.59
20.22,3,mini_truck,19,3.77
9.71,9,mini_truck,44,2.78
14.3,2,ev,75,0.93
18.26,8,two_wheeler,39,2.41
10.81,2,two_wheeler,35,0.98
4.24,1,two_wheeler,21,0.34
3.5,1,mini_truck,25,0.57
6.75,5,mini_truck,26,1.47
6.2,6,mini_truck,35,1.47
3.27,10,two_wheeler,19,0.44
3.73,1,mini_truck,19,0.6
8.5,6,mini_truck,53,2.15
38.62,3,ev,49,2.48
31.47,10,mini_truck,26,8.88
32.12,9,two_wheeler,30,4.31
19.02,9,van,33,4.39
7.23,7,mini_truck,9,1.65
4.31,1,ev,18,0.21
13.96,3,two_wheeler,28,1.32
6.14,10,two_wheeler,26,0.85
8.92,1,ev,20,0.45
14.33,6,two_wheeler,11,1.53
6.74,1,two_wheeler,31,0.56
6.01,8,van,26,1.29
29.52,4,mini_truck,27,6.05
16.12,8,two_wheeler,15,1.95
4.02,3,mini_truck,45,0.82
35.86,7,mini_truck,23,8.62
25.97,2,two_wheeler,18,2.21
20.69,5,van,47,4.04
44.4,6,van,10,8.05
5.9,2,van,30,0.89
20.12,10,two_wheeler,30,2.83
19.36,3,two_wheeler,32,1.86
6.53,10,van,13,1.47
36.72,10,mini_truck,16,9.99
21.81,1,van,28,3.03
15.13,10,van,21,3.51
3.79,7,mini_truck,26,0.92
20.36,3,two_wheeler,24,1.9
20.66,2,van,40,3.23
7.58,8,mini_truck,13,1.85
9.21,5,mini_truck,12,1.9
12.61,7,mini_truck,38,3.2
12.07,10,ev,22,1.04
3.72,4,two_wheeler,25,0.37
18.78,10,two_wheeler,47,2.8
26.13,6,two_wheeler,35,3.05
28.6,3,van,18,4.44
8.72,2,two_wheeler,21,0.75
23.07,4,two_wheeler,15,2.22
5.37,7,van,28,1.1
2.89,6,two_wheeler,26,0.33
7.62,1,van,8,0.98
16.17,1,van,15,2.14
6.78,10,two_wheeler,87,1.15
12.17,8,two_wheeler,14,1.46
