date,daily_co2_kg
2023-04-19,1100.45
2023-04-20,911.03
2023-04-21,889.34
2023-04-22,899.17
2023-04-23,992.15
2023-04-24,1164.18
2023-04-25,1171.96
2023-04-26,1136.52
2023-04-27,944.78
2023-04-28,827.57
2023-04-29,974.39
2023-04-30,1030.66
2023-05-01,1110.2
2023-05-02,1199.82
2023-05-03,1429.71
2023-05-04,911.87
2023-05-05,921.4
2023-05-06,907.49
2023-05-07,1131.79
2023-05-08,1225.56
2023-05-09,1116.9
2023-05-10,1106.08
2023-05-11,1008.24
2023-05-12,928.1
2023-05-13,996.88
2023-05-14,1106.6
2023-05-15,1191.94
2023-05-16,1161.04
2023-05-17,1132.7
2023-05-18,978.84
2023-05-19,907.36
2023-05-20,928.72
2023-05-21,1107.52
2023-05-22,1146.52
2023-05-23,1222.6
2023-05-24,1128.31
2023-05-25,939.79
2023-05-26,926.09
2023-05-27,863.13
2023-05-28,989.03
2023-05-29,1132.59
2023-05-30,1140.22
2023-05-31,1518.27
2023-06-01,950.23
2023-06-02,874.37
2023-06-03,964.73
2023-06-04,1017.99
2023-06-05,1416.79
2023-06-06,1266.5
2023-06-07,1121.0
2023-06-08,924.99
2023-06-09,948.48
2023-06-10,926.54
2023-06-11,1006.99
2023-06-12,1114.68
2023-06-13,1181.62
2023-06-14,1215.52
2023-06-15,976.47
2023-06-16,931.84
2023-06-17,900.37
2023-06-18,958.08
2023-06-19,1168.84
2023-06-20,1207.42
2023-06-21,1071.53
2023-06-22,1006.03
2023-06-23,847.43
2023-06-24,964.88
2023-06-25,1046.95
2023-06-26,1188.24
2023-06-27,1160.43
2023-06-28,1158.34
2023-06-29,975.37
2023-06-30,907.17
2023-07-01,922.61
2023-07-02,1055.9
2023-07-03,1211.15
2023-07-04,1215.53
2023-07-05,1144.4
2023-07-06,914.43
2023-07-07,908.56
2023-07-08,1201.49
2023-07-09,1022.15
2023-07-10,1177.72
2023-07-11,1127.22
2023-07-12,1012.22
2023-07-13,1124.56
2023-07-14,856.84
2023-07-15,895.61
2023-07-16,1046.93
2023-07-17,1151.65
2023-07-18,1255.44
2023-07-19,1139.93
2023-07-20,996.74
2023-07-21,939.85
2023-07-22,919.94
2023-07-23,1093.46
2023-07-24,1253.67
2023-07-25,1151.76
2023-07-26,1107.73
2023-07-27,957.03
2023-07-28,991.33
2023-07-29,1001.39
2023-07-30,978.82
2023-07-31,1194.91
2023-08-01,1203.69
2023-08-02,1167.07
2023-08-03,941.82
2023-08-04,900.53
2023-08-05,893.34
2023-08-06,1092.81
2023-08-07,1183.99
2023-08-08,1157.88
2023-08-09,1186.85
2023-08-10,1035.35
2023-08-11,979.86
2023-08-12,924.92
2023-08-13,1058.63
2023-08-14,1151.32
2023-08-15,1214.51
2023-08-16,1133.31
2023-08-17,1046.7
2023-08-18,948.0
2023-08-19,1014.58
2023-08-20,1513.75
2023-08-21,1195.47
2023-08-22,1222.53
2023-08-23,1069.93
2023-08-24,992.5
2023-08-25,918.3
2023-08-26,1255.17
2023-08-27,1076.28
2023-08-28,1221.01
2023-08-29,1175.17
2023-08-30,1368.57
2023-08-31,1108.66
2023-09-01,984.55
2023-09-02,960.34
2023-09-03,1140.23
2023-09-04,1179.44
2023-09-05,1202.72
2023-09-06,1156.82
2023-09-07,1022.58
2023-09-08,994.59
2023-09-09,878.5
2023-09-10,1073.03
2023-09-11,1161.03
2023-09-12,1181.13
2023-09-13,1086.74
2023-09-14,1047.54
2023-09-15,994.01
2023-09-16,998.27
2023-09-17,1154.65
2023-09-18,1130.86
2023-09-19,1282.85
2023-09-20,1162.94
2023-09-21,940.71
2023-09-22,888.77
2023-09-23,997.24
2023-09-24,1183.78
2023-09-25,1159.0
2023-09-26,1208.12
2023-09-27,1193.44
2023-09-28,1054.4
2023-09-29,950.55
2023-09-30,873.65
2023-10-01,1196.19
2023-10-02,1189.15
2023-10-03,1267.02
2023-10-04,1103.37
2023-10-05,984.33
2023-10-06,910.81
2023-10-07,1004.6
2023-10-08,986.83
2023-10-09,1199.67
2023-10-10,1196.23
2023-10-11,1138.75
2023-10-12,948.69
2023-10-13,871.14
2023-10-14,1026.87
2023-10-15,1082.37
2023-10-16,1112.41
2023-10-17,1215.36
2023-10-18,1118.31
2023-10-19,1087.45
2023-10-20,949.32
2023-10-21,957.7
2023-10-22,1105.26
2023-10-23,1217.97
2023-10-24,1246.5
2023-10-25,1115.42
2023-10-26,1048.48
2023-10-27,1379.28
2023-10-28,943.25
2023-10-29,1090.69
2023-10-30,1255.36
2023-10-31,1210.12
2023-11-01,1176.38
2023-11-02,981.87
2023-11-03,912.61
2023-11-04,941.99
2023-11-05,1047.59
2023-11-06,1248.37
2023-11-07,1242.69
2023-11-08,1121.66
2023-11-09,989.64
2023-11-10,1147.33
2023-11-11,932.19
2023-11-12,1071.35
2023-11-13,1099.81
2023-11-14,1230.1
2023-11-15,1238.21
2023-11-16,1139.82
2023-11-17,862.04
2023-11-18,986.13
2023-11-19,1182.16
2023-11-20,1212.78
2023-11-21,1205.43
2023-11-22,1153.72
2023-11-23,1069.26
2023-11-24,946.05
2023-11-25,968.65
2023-11-26,1449.19
2023-11-27,1280.52
2023-11-28,1223.74
2023-11-29,1159.35
2023-11-30,1051.17
2023-12-01,1101.55
2023-12-02,1218.92
2023-12-03,1044.8
2023-12-04,1112.65
2023-12-05,1355.02
2023-12-06,1165.97
2023-12-07,947.47
2023-12-08,995.79
2023-12-09,948.09
2023-12-10,1283.54
2023-12-11,1216.73
2023-12-12,1209.9
2023-12-13,1165.28
2023-12-14,1102.25
2023-12-15,921.62
2023-12-16,1022.56
2023-12-17,1158.95
2023-12-18,1281.8
2023-12-19,1258.5
2023-12-20,1128.84
2023-12-21,1082.44
2023-12-22,1070.13
2023-12-23,895.48
2023-12-24,996.19
2023-12-25,1195.77
2023-12-26,1281.03
2023-12-27,1165.95
2023-12-28,1070.6
2023-12-29,981.44
2023-12-30,904.91
2023-12-31,1173.1
