distance_km,load_kg,vehicle_type,fuel_type,avg_speed,stop_events,co2_kg
87.91,1385.02,truck_diesel,cng,55.37,3,22.3
153.28,893.22,van,electric,50.38,2,5.41
43.4,443.32,truck_diesel,diesel,45.32,1,11.69
75.66,1161.86,mini_truck,petrol,36.52,2,17.28
49.57,1730.0,two_wheeler,petrol,60.14,3,6.13
48.28,1665.12,two_wheeler,cng,41.92,2,3.96
67.19,554.57,ev,hybrid,93.09,5,5.42
298.43,989.74,truck_cng,petrol,80.78,9,61.35
134.47,372.69,truck_diesel,cng,62.32,3,28.52
170.66,825.17,truck_cng,petrol,47.67,3,35.91
37.69,337.14,two_wheeler,petrol,55.62,1,3.56
85.65,782.88,van,petrol,55.85,1,13.22
34.45,3454.88,mini_truck,cng,71.79,0,5.65
55.6,1535.75,van,electric,58.35,0,1.71
7.85,662.67,van,petrol,87.59,0,1.19
288.52,1201.61,truck_diesel,cng,50.66,4,65.04
55.68,458.86,truck_diesel,cng,46.82,0,11.71
156.75,2041.07,mini_truck,cng,53.88,3,23.64
12.69,595.7,van,hybrid,50.4,0,1.21
118.06,486.67,mini_truck,electric,22.92,2,6.01
33.18,700.03,truck_cng,electric,57.39,0,1.36
26.13,1118.68,truck_cng,cng,62.46,0,4.33
169.58,1307.15,van,cng,50.11,4,22.09
5.17,924.52,truck_diesel,cng,32.04,0,1.39
59.3,1372.64,van,diesel,56.23,1,10.41
112.07,1423.54,truck_cng,hybrid,47.35,1,16.4
110.14,1371.18,truck_diesel,electric,69.6,2,7.15
222.01,891.74,truck_cng,cng,94.65,8,44.82
89.96,406.53,van,electric,53.11,0,2.97
121.94,725.06,ev,petrol,48.6,2,7.19
130.81,646.52,truck_cng,cng,80.04,1,17.98
79.88,1454.64,truck_cng,petrol,27.33,1,20.06
73.16,2838.85,truck_diesel,cng,55.89,2,18.92
218.23,233.19,mini_truck,petrol,65.51,4,37.03
69.84,1079.03,two_wheeler,electric,50.58,3,2.59
49.19,220.97,truck_diesel,diesel,70.16,2,14.49
87.37,672.35,mini_truck,petrol,39.14,0,18.24
25.85,332.9,truck_cng,electric,42.76,1,1.39
247.81,1376.78,two_wheeler,petrol,54.54,1,23.06
134.7,886.66,mini_truck,hybrid,52.24,1,16.7
34.79,2239.65,ev,petrol,65.76,0,1.79
37.33,1201.72,mini_truck,hybrid,35.01,1,5.83
216.95,874.31,truck_diesel,cng,51.66,6,48.2
137.2,1136.09,van,cng,32.21,3,20.29
63.53,530.48,truck_diesel,petrol,82.19,2,16.54
181.15,764.09,van,cng,64.31,7,24.51
92.28,378.66,mini_truck,cng,70.8,4,13.04
120.04,913.83,truck_cng,diesel,47.82,4,27.42
165.56,604.17,truck_diesel,electric,37.2,1,11.86
52.39,511.8,truck_cng,hybrid,32.18,1,8.13
65.44,1173.4,ev,diesel,79.21,0,3.42
66.81,522.48,van,cng,67.03,3,9.29
63.71,738.82,mini_truck,cng,47.48,3,11.29
117.47,854.43,two_wheeler,cng,29.37,2,11.08
159.71,535.78,two_wheeler,petrol,49.18,4,13.58
25.67,783.88,truck_cng,hybrid,81.92,2,4.55
169.12,2105.62,ev,hybrid,67.31,4,8.0
35.81,425.97,ev,petrol,63.92,0,1.78
131.75,464.91,ev,cng,67.93,4,7.13
98.29,1093.58,truck_cng,hybrid,55.72,0,14.02
112.58,1449.66,mini_truck,diesel,39.6,0,28.39
44.12,529.7,truck_diesel,cng,52.47,1,9.06
6.73,1161.7,mini_truck,electric,69.81,0,0.25
29.06,2088.52,two_wheeler,hybrid,38.95,1,2.45
108.19,836.91,truck_cng,cng,51.56,4,19.48
129.02,900.19,two_wheeler,diesel,65.64,3,12.81
34.18,2200.71,ev,petrol,40.94,2,3.06
101.12,1052.53,truck_cng,diesel,50.15,1,22.47
185.44,518.01,two_wheeler,diesel,47.93,5,19.22
108.17,866.83,two_wheeler,diesel,55.89,5,11.36
200.58,900.76,two_wheeler,electric,49.46,1,3.97
32.91,567.7,truck_diesel,electric,80.91,0,1.92
29.67,1109.5,two_wheeler,electric,71.97,1,1.0
85.19,1850.72,two_wheeler,electric,53.76,5,3.91
25.09,255.85,two_wheeler,cng,47.86,0,1.68
22.08,1736.67,van,hybrid,41.59,0,2.25
227.79,2049.62,two_wheeler,cng,41.89,1,14.0
250.53,1814.43,truck_diesel,petrol,23.57,5,96.57
150.84,1560.78,truck_cng,electric,57.61,1,7.71
26.26,1149.56,two_wheeler,diesel,80.74,0,2.34
286.39,700.06,ev,diesel,31.83,4,21.12
44.42,1074.03,ev,hybrid,53.46,0,1.58
95.77,884.51,two_wheeler,electric,38.85,3,3.58
166.51,682.62,two_wheeler,cng,51.34,7,14.67
72.65,807.66,ev,cng,40.13,1,3.05
240.61,1403.69,truck_diesel,hybrid,55.89,2,52.6
21.97,234.35,truck_diesel,petrol,57.69,1,6.8
91.96,1001.0,ev,cng,54.49,1,4.01
163.03,534.04,truck_cng,petrol,59.74,4,34.03
51.16,436.6,truck_cng,electric,75.96,1,2.6
117.66,870.16,van,electric,44.47,4,5.36
141.47,503.44,truck_cng,petrol,63.8,2,29.8
120.18,636.06,van,hybrid,73.37,2,13.62
77.76,2846.1,ev,petrol,33.47,3,5.97
104.44,565.82,van,electric,46.27,1,3.41
85.55,478.97,truck_diesel,hybrid,64.47,1,14.94
22.84,710.9,van,diesel,54.82,0,3.42
40.62,881.72,two_wheeler,petrol,53.33,1,3.63
175.49,1137.06,truck_cng,cng,56.09,3,31.01
53.71,990.59,mini_truck,hybrid,43.21,0,6.01
89.09,1199.45,mini_truck,electric,60.48,2,4.64
154.65,120.28,mini_truck,cng,44.98,1,21.26
122.98,435.63,mini_truck,diesel,44.17,2,25.76
103.26,744.68,mini_truck,hybrid,55.85,3,14.02
36.22,731.47,van,petrol,40.5,0,5.24
70.3,875.06,truck_diesel,diesel,49.94,0,20.36
45.53,624.5,two_wheeler,hybrid,57.56,1,3.09
335.56,299.83,truck_cng,hybrid,51.63,8,44.65
169.37,345.92,truck_cng,diesel,62.69,2,33.46
80.77,718.23,truck_cng,hybrid,80.68,5,13.16
265.51,757.5,mini_truck,cng,68.82,5,38.08
101.21,1463.86,two_wheeler,hybrid,63.63,2,6.33
13.18,469.3,two_wheeler,diesel,52.83,1,1.6
75.98,1370.02,truck_cng,electric,54.21,1,4.04
81.56,380.88,two_wheeler,petrol,60.46,1,6.44
10.23,696.43,ev,cng,50.85,0,0.43
62.18,2361.86,van,electric,65.33,0,2.14
41.65,1981.95,ev,electric,59.5,1,1.03
84.71,2538.99,van,cng,71.13,0,10.41
39.38,346.28,two_wheeler,electric,51.51,2,1.77
58.91,1928.63,truck_diesel,petrol,60.92,1,18.77
84.29,279.19,van,cng,38.41,2,12.23
107.17,286.91,ev,petrol,28.59,3,7.81
381.55,863.56,truck_cng,petrol,44.68,5,84.11
150.96,1102.81,ev,electric,47.59,2,2.58
72.76,1241.65,two_wheeler,diesel,68.23,2,7.57
153.61,958.24,truck_diesel,hybrid,34.35,6,37.87
122.34,291.42,ev,electric,20.0,1,2.07
258.06,1326.99,truck_cng,electric,66.67,4,13.37
70.87,986.83,van,petrol,51.68,1,10.79
72.88,1434.73,mini_truck,diesel,85.5,1,14.96
38.03,1513.31,van,diesel,49.35,2,6.64
129.31,960.06,ev,diesel,53.03,0,6.84
238.96,1053.05,ev,petrol,83.72,7,16.23
38.3,1896.0,van,electric,51.09,0,1.09
81.0,1852.91,ev,electric,59.12,2,1.99
78.41,411.59,two_wheeler,cng,54.92,3,5.83
96.97,2113.38,van,petrol,71.2,1,14.85
169.06,676.83,two_wheeler,electric,62.25,2,3.69
113.78,490.96,truck_cng,cng,58.06,5,18.72
67.92,1534.08,mini_truck,petrol,93.84,0,13.67
128.07,885.4,truck_cng,diesel,74.76,3,30.75
81.87,1098.29,van,diesel,42.4,1,12.55
8.98,1556.7,ev,electric,77.82,0,0.1
92.39,350.25,truck_cng,diesel,72.82,2,19.65
50.56,542.44,two_wheeler,hybrid,36.81,1,3.81
104.25,1299.1,truck_diesel,cng,60.19,2,23.63
65.23,753.07,van,petrol,76.18,1,10.03
154.48,819.19,truck_cng,diesel,57.31,2,34.46
267.21,186.25,truck_diesel,diesel,50.56,6,75.54
72.9,841.42,mini_truck,hybrid,47.99,1,9.31
183.26,1379.16,two_wheeler,hybrid,62.52,3,11.55
38.27,1726.72,truck_cng,electric,50.93,0,1.67
36.53,1331.58,ev,electric,51.77,2,1.23
18.37,554.82,truck_cng,diesel,89.17,0,3.76
43.6,1059.03,van,diesel,95.96,0,7.71
43.61,851.81,ev,cng,22.57,0,2.18
77.83,1766.62,ev,hybrid,44.36,1,3.5
34.77,1186.51,van,hybrid,61.29,1,3.89
126.3,1123.97,truck_cng,electric,71.28,4,8.01
201.69,827.54,two_wheeler,diesel,93.2,2,21.02
246.5,965.53,ev,petrol,83.51,5,16.07
63.5,840.37,van,electric,42.93,0,1.82
7.26,636.69,mini_truck,cng,58.48,0,1.02
179.27,682.23,two_wheeler,diesel,36.78,4,21.61
55.13,1560.49,van,diesel,56.67,0,8.14
89.8,208.98,ev,hybrid,33.24,2,4.71
99.01,1523.32,ev,cng,60.54,3,5.23
92.91,1844.37,truck_diesel,cng,58.76,1,21.47
39.04,169.35,ev,cng,66.22,0,1.5
125.37,434.45,mini_truck,cng,70.91,1,16.89
51.8,930.86,truck_cng,hybrid,62.02,2,8.08
285.84,432.08,van,petrol,55.43,10,48.24
247.66,882.57,ev,diesel,54.88,4,16.03
39.14,839.33,ev,electric,71.19,1,0.97
121.03,1079.77,ev,electric,65.73,4,3.19
81.79,512.72,truck_diesel,electric,52.83,2,5.43
106.97,735.0,mini_truck,hybrid,30.73,3,15.95
56.49,829.53,two_wheeler,diesel,49.87,0,5.18
56.1,1180.2,truck_cng,electric,61.09,2,3.32
32.82,401.07,mini_truck,electric,57.52,0,1.12
59.61,530.77,van,diesel,55.23,0,9.16
38.96,673.58,truck_diesel,petrol,43.34,0,10.82
96.46,694.2,ev,diesel,66.34,2,6.66
158.56,1084.09,two_wheeler,electric,42.75,3,4.69
59.56,798.28,two_wheeler,cng,40.45,1,3.96
21.26,597.86,mini_truck,diesel,76.79,1,4.25
109.19,254.71,truck_cng,petrol,67.27,2,21.63
285.37,1398.18,ev,electric,62.76,7,6.37
186.76,1336.52,mini_truck,electric,40.77,4,8.72
92.41,365.29,ev,diesel,47.98,2,6.25
23.0,887.96,ev,cng,58.66,0,0.92
15.9,505.52,two_wheeler,hybrid,54.38,0,0.93
204.24,514.31,mini_truck,diesel,64.45,6,37.06
150.99,690.74,two_wheeler,petrol,62.0,4,13.01
44.99,1044.61,van,petrol,52.78,1,7.8
17.82,1364.05,two_wheeler,cng,54.33,1,1.64
106.64,2257.93,van,petrol,34.55,6,22.64
26.08,1206.95,truck_diesel,electric,35.6,0,1.91
230.32,330.48,mini_truck,cng,64.07,4,37.49
20.07,492.64,truck_diesel,diesel,58.63,0,5.9
192.26,180.57,two_wheeler,petrol,42.94,4,18.05
119.28,1957.08,truck_diesel,cng,51.73,7,30.79
39.23,394.06,van,diesel,33.91,1,7.05
47.89,1553.82,two_wheeler,hybrid,46.41,0,2.47
107.85,584.26,van,hybrid,42.0,1,11.23
165.47,722.99,truck_cng,cng,73.26,3,28.44
152.43,1118.89,truck_diesel,electric,76.9,2,9.35
40.4,1084.25,truck_diesel,petrol,21.39,2,14.68
217.16,962.69,two_wheeler,diesel,36.91,3,23.6
70.79,767.21,van,electric,70.87,3,3.79
116.22,565.59,truck_diesel,cng,32.23,4,30.87
264.56,819.72,van,cng,57.81,5,32.24
113.98,713.57,truck_diesel,petrol,45.06,1,31.09
26.58,605.4,ev,diesel,58.97,0,1.5
46.98,691.03,truck_diesel,petrol,47.45,3,13.5
134.63,1169.75,mini_truck,petrol,61.07,1,24.36
86.2,1000.22,two_wheeler,cng,43.04,3,6.98
271.95,1064.42,truck_diesel,hybrid,81.49,5,53.98
15.65,2369.55,truck_diesel,electric,87.33,0,1.02
128.18,1620.8,two_wheeler,diesel,64.32,4,13.01
40.36,1192.72,truck_diesel,petrol,58.38,1,11.98
58.2,242.84,truck_cng,diesel,84.48,1,12.61
172.14,1078.23,two_wheeler,diesel,51.31,4,17.36
143.4,647.63,ev,cng,76.26,2,6.96
135.68,701.78,two_wheeler,electric,67.16,4,4.25
50.02,1972.53,ev,electric,55.04,2,1.35
15.45,1890.34,truck_cng,diesel,47.6,0,3.84
45.86,582.22,mini_truck,electric,66.86,2,2.69
33.74,368.05,two_wheeler,hybrid,50.93,2,2.88
125.08,1135.38,mini_truck,diesel,64.57,0,23.0
56.29,1420.36,two_wheeler,electric,61.3,1,1.52
117.8,426.58,ev,diesel,64.29,3,7.98
34.43,205.91,mini_truck,petrol,71.78,0,6.21
47.16,397.0,truck_diesel,electric,58.88,1,3.14
110.44,1253.49,ev,petrol,62.95,1,5.66
92.23,956.94,mini_truck,diesel,47.91,2,16.82
65.45,775.66,ev,cng,85.43,1,3.28
192.24,866.44,truck_diesel,electric,71.45,5,13.4
191.45,596.23,van,electric,63.58,8,9.31
43.66,755.01,van,electric,81.43,2,2.27
132.86,362.06,truck_cng,petrol,59.03,0,27.76
116.47,1746.14,mini_truck,electric,61.15,2,5.3
93.46,743.63,truck_diesel,hybrid,66.76,2,18.96
263.18,697.86,truck_diesel,diesel,43.63,4,75.47
37.4,1798.98,two_wheeler,diesel,56.47,1,3.74
40.92,536.99,truck_cng,petrol,70.67,2,9.31
101.3,563.99,two_wheeler,hybrid,50.01,1,6.24
26.32,1516.96,ev,hybrid,60.03,0,0.96
45.51,863.0,truck_diesel,hybrid,66.35,2,10.01
77.21,577.7,truck_diesel,hybrid,60.01,1,15.89
130.28,1643.62,truck_diesel,petrol,85.18,6,44.74
22.93,558.44,van,petrol,60.51,0,2.88
178.39,1100.41,truck_diesel,cng,48.44,4,44.12
95.34,826.79,two_wheeler,electric,34.96,0,1.92
23.85,2471.74,mini_truck,diesel,78.31,3,6.66
3.48,663.31,van,petrol,57.27,0,0.51
56.74,728.36,van,diesel,68.97,2,9.59
130.93,467.12,truck_diesel,cng,59.33,2,28.43
54.25,707.56,mini_truck,hybrid,51.91,0,6.13
47.6,501.99,mini_truck,electric,73.48,1,1.91
59.5,585.52,truck_cng,petrol,43.45,1,11.49
127.95,556.81,van,petrol,63.0,2,19.77
45.58,1402.39,truck_cng,diesel,59.7,0,10.15
34.15,1384.74,two_wheeler,petrol,71.94,1,3.41
189.93,868.92,truck_cng,petrol,54.27,6,38.6
53.77,171.97,ev,hybrid,83.56,1,2.55
103.91,263.28,van,electric,58.49,3,4.47
230.16,2268.44,truck_diesel,petrol,44.23,5,75.89
112.59,658.48,ev,hybrid,59.44,2,5.05
8.17,546.42,mini_truck,cng,45.16,1,1.52
234.0,703.37,mini_truck,diesel,60.4,5,45.14
26.84,1164.75,truck_cng,hybrid,23.74,1,5.52
80.43,609.65,two_wheeler,hybrid,58.74,1,4.72
189.63,584.29,truck_diesel,diesel,59.18,7,53.57
49.59,235.24,mini_truck,cng,73.13,1,7.48
153.39,269.02,van,petrol,51.22,4,23.93
47.39,1314.28,truck_cng,diesel,59.93,2,11.51
55.18,525.31,van,hybrid,56.28,0,4.5
301.95,631.13,mini_truck,cng,40.77,8,47.99
40.18,186.33,van,hybrid,27.69,1,5.1
22.54,2221.89,ev,diesel,55.65,0,1.26
87.72,1452.06,mini_truck,diesel,67.21,0,16.14
70.56,525.45,ev,diesel,57.86,3,5.37
103.71,999.62,ev,electric,54.01,1,1.67
91.98,661.14,two_wheeler,diesel,61.24,2,8.48
92.76,896.58,van,petrol,59.24,3,14.56
99.04,378.64,ev,cng,52.87,3,5.22
185.91,1812.7,van,hybrid,44.19,2,19.39
169.26,1657.01,mini_truck,electric,61.38,2,8.01
31.61,205.07,van,electric,48.14,1,1.42
89.89,263.13,truck_diesel,diesel,68.41,0,24.14
6.06,517.1,van,petrol,51.71,0,0.85
28.45,146.68,van,petrol,49.05,1,4.34
17.57,613.64,mini_truck,electric,60.07,0,0.62
123.12,1279.74,two_wheeler,diesel,61.77,2,11.39
221.04,274.73,two_wheeler,electric,52.33,3,4.88
71.28,1360.91,two_wheeler,electric,57.8,3,2.59
174.64,553.36,mini_truck,petrol,49.4,3,30.34
88.84,571.35,mini_truck,diesel,44.85,0,16.68
221.87,1362.57,van,electric,39.68,6,11.17
37.82,1179.83,truck_cng,hybrid,43.37,0,5.1
16.16,930.0,truck_diesel,electric,37.21,0,1.1
195.63,762.28,van,hybrid,53.66,5,20.72
61.83,1301.25,truck_cng,diesel,60.11,1,14.27
61.46,926.61,mini_truck,cng,20.0,2,12.28
49.48,195.51,van,hybrid,43.23,1,5.3
359.06,446.26,truck_cng,hybrid,20.0,8,64.46
246.74,1217.2,van,electric,81.73,6,11.14
106.15,452.71,mini_truck,electric,73.74,2,4.72
64.24,381.71,van,cng,83.67,2,8.11
196.46,772.36,ev,petrol,52.03,3,12.13
137.35,246.04,truck_cng,petrol,68.11,3,27.6
123.58,554.14,two_wheeler,hybrid,53.93,2,7.79
103.34,1248.55,truck_diesel,diesel,37.72,0,38.41
202.3,916.22,ev,electric,46.9,2,2.99
41.8,713.27,truck_diesel,diesel,51.08,0,10.91
181.48,782.99,two_wheeler,cng,67.64,2,13.21
64.12,1644.46,truck_diesel,hybrid,71.87,1,14.33
48.69,1196.97,mini_truck,cng,93.32,1,8.0
185.12,2515.77,truck_diesel,cng,54.96,5,48.64
233.85,1115.48,ev,electric,63.98,3,3.87
61.44,726.18,two_wheeler,electric,40.53,2,2.21
98.21,409.91,van,hybrid,56.18,1,8.8
28.86,225.4,truck_diesel,petrol,77.7,0,8.07
35.05,127.49,two_wheeler,petrol,47.2,0,2.74
34.13,832.15,truck_cng,hybrid,51.96,1,5.24
42.89,678.68,truck_cng,petrol,84.83,1,9.21
172.4,884.9,van,petrol,59.15,4,22.21
35.27,536.35,mini_truck,petrol,63.39,0,5.73
114.76,695.88,van,cng,85.7,2,13.9
19.83,663.19,mini_truck,cng,56.03,0,2.86
67.59,609.01,truck_diesel,petrol,62.07,1,18.84
140.23,746.84,truck_diesel,diesel,56.82,2,44.72
124.47,1191.32,ev,cng,37.88,1,6.41
25.73,948.56,mini_truck,electric,20.0,0,1.2
48.13,469.22,van,petrol,57.63,1,6.74
57.3,697.59,mini_truck,diesel,71.58,0,10.82
162.96,342.99,truck_diesel,diesel,49.58,2,46.15
90.66,1075.22,van,hybrid,50.09,1,9.37
120.9,2171.82,ev,petrol,77.0,5,9.55
206.24,1223.22,truck_diesel,petrol,45.93,3,64.03
104.7,1249.02,van,electric,40.52,1,4.02
51.14,351.71,van,hybrid,77.46,0,5.3
383.64,302.04,truck_diesel,cng,73.07,9,80.46
263.21,273.31,mini_truck,diesel,27.4,4,57.1
38.03,770.09,ev,hybrid,66.26,0,1.25
32.07,792.53,ev,cng,61.63,0,1.37
40.52,352.54,mini_truck,petrol,85.18,1,6.77
60.68,1012.05,two_wheeler,electric,51.19,1,1.54
165.82,657.9,two_wheeler,cng,81.57,4,12.75
40.27,1177.99,van,diesel,49.11,0,5.75
292.36,868.58,ev,hybrid,70.07,8,13.83
9.76,823.21,ev,cng,67.32,0,0.39
118.66,1091.0,van,diesel,73.57,0,19.33
93.71,855.27,mini_truck,electric,49.61,4,6.1
58.57,1315.26,truck_diesel,petrol,42.97,0,16.29
40.34,747.67,truck_diesel,cng,52.87,1,9.34
169.01,1307.96,truck_diesel,cng,51.94,4,44.31
128.64,451.48,truck_diesel,hybrid,52.74,3,25.87
42.4,609.83,mini_truck,cng,70.98,0,6.04
165.63,493.14,van,electric,61.36,3,6.39
167.28,725.0,van,cng,52.28,5,20.86
119.7,1446.85,mini_truck,petrol,58.03,3,23.82
41.75,2924.94,truck_diesel,electric,27.79,3,5.14
36.8,1237.96,ev,petrol,56.91,1,2.39
102.97,885.64,mini_truck,petrol,66.82,0,16.64
243.24,648.02,two_wheeler,petrol,51.81,8,25.44
34.9,1623.57,truck_diesel,cng,34.91,0,9.97
37.74,165.27,truck_diesel,diesel,73.38,0,10.34
179.16,344.61,truck_diesel,cng,53.61,3,35.89
64.23,687.65,two_wheeler,diesel,56.31,4,8.4
36.41,1140.05,van,diesel,40.09,1,6.19
25.46,203.86,truck_cng,cng,49.26,0,3.78
124.73,736.07,two_wheeler,hybrid,72.96,1,6.86
102.67,1300.83,two_wheeler,hybrid,70.54,1,5.81
191.47,1000.84,mini_truck,cng,43.28,5,27.2
211.53,731.01,ev,diesel,38.35,2,15.59
44.79,708.05,two_wheeler,hybrid,50.22,0,2.61
53.22,1445.94,van,petrol,59.79,2,9.59
56.52,607.67,two_wheeler,diesel,95.17,1,6.05
82.78,167.66,mini_truck,electric,84.3,1,3.35
58.3,1048.62,truck_cng,diesel,28.06,5,17.08
124.96,162.53,two_wheeler,diesel,75.15,4,11.4
99.05,428.01,truck_cng,cng,53.69,4,17.54
32.76,730.33,mini_truck,petrol,69.4,1,6.27
134.63,1806.34,truck_cng,cng,73.74,1,21.87
62.75,478.07,truck_diesel,cng,67.8,0,12.87
123.08,1028.64,mini_truck,hybrid,59.72,2,17.26
77.48,688.31,ev,cng,38.7,1,4.03
87.99,436.43,truck_diesel,cng,44.58,1,18.77
125.49,956.72,truck_cng,diesel,42.49,2,28.8
52.89,270.77,truck_cng,petrol,46.13,1,11.1
183.44,810.77,truck_cng,petrol,32.28,5,45.05
92.58,577.53,ev,hybrid,49.86,3,4.33
138.78,565.32,two_wheeler,cng,48.37,4,11.43
59.23,679.33,truck_diesel,petrol,74.35,1,15.67
66.08,1019.74,mini_truck,petrol,65.61,1,13.78
116.49,1299.78,truck_diesel,diesel,52.42,1,34.89
26.31,888.5,truck_diesel,petrol,40.68,2,8.4
179.75,851.5,mini_truck,petrol,39.7,7,41.35
34.31,528.28,truck_diesel,electric,52.55,0,2.11
57.74,856.72,ev,diesel,50.65,2,4.06
199.85,695.06,truck_cng,hybrid,51.91,6,31.48
76.22,913.52,ev,cng,63.93,1,3.47
19.16,475.89,mini_truck,electric,54.06,1,1.19
71.06,919.04,mini_truck,diesel,50.54,0,14.72
41.32,403.93,mini_truck,petrol,76.87,0,6.53
261.38,1257.4,van,electric,43.97,1,9.25
173.28,1598.87,truck_diesel,cng,68.37,6,43.81
43.03,783.21,truck_cng,petrol,58.35,0,9.21
84.16,1058.84,ev,cng,40.73,0,3.3
164.6,499.44,truck_cng,hybrid,61.9,3,23.43
77.11,1379.5,truck_diesel,hybrid,59.18,1,15.69
56.09,989.34,van,cng,52.6,1,7.11
155.31,681.27,ev,electric,20.0,2,3.1
15.82,1134.25,two_wheeler,hybrid,56.66,0,0.86
70.78,351.92,truck_cng,electric,51.15,3,4.27
86.3,1105.89,van,electric,43.11,3,4.27
54.19,662.6,truck_diesel,electric,57.66,1,3.24
37.68,1126.54,truck_diesel,cng,47.88,1,8.74
98.72,596.29,mini_truck,electric,66.68,2,4.52
123.04,250.81,truck_diesel,cng,67.04,4,30.96
52.94,481.72,truck_cng,diesel,34.62,1,12.89
50.37,413.76,mini_truck,electric,72.39,1,2.39
57.15,894.46,van,petrol,52.91,0,8.67
188.0,260.83,two_wheeler,electric,48.65,3,4.36
48.92,1214.83,truck_cng,diesel,62.42,1,11.46
29.69,1489.54,two_wheeler,hybrid,29.18,1,2.39
159.64,544.72,ev,electric,57.41,4,3.55
260.68,874.38,truck_cng,petrol,48.41,5,55.25
282.08,176.85,van,hybrid,68.89,4,26.36
234.46,798.67,ev,petrol,44.91,4,14.25
55.03,1034.62,truck_cng,petrol,20.0,0,14.96
154.88,990.32,truck_diesel,petrol,35.67,3,55.76
116.91,695.73,van,cng,58.63,4,14.54
21.9,1228.06,truck_diesel,electric,60.38,2,2.33
60.87,630.85,mini_truck,petrol,82.73,2,11.54
10.21,767.08,van,petrol,58.45,0,1.54
160.51,481.95,two_wheeler,hybrid,49.38,6,13.49
85.92,714.96,van,hybrid,62.99,1,9.92
106.26,2772.23,mini_truck,hybrid,67.36,3,15.83
125.45,407.05,ev,diesel,55.97,4,9.04
55.04,1176.66,two_wheeler,cng,59.8,1,4.13
205.43,142.27,van,hybrid,57.63,3,21.35
168.55,752.87,truck_diesel,diesel,58.31,0,50.68
136.3,580.15,mini_truck,cng,57.0,2,18.27
150.48,187.39,mini_truck,cng,68.96,3,19.09
65.9,1064.15,truck_cng,petrol,36.01,1,14.56
262.24,567.52,mini_truck,cng,70.39,4,39.16
25.56,1528.6,ev,petrol,72.16,0,1.36
160.45,1461.97,truck_diesel,petrol,73.0,3,49.65
89.07,390.95,truck_diesel,hybrid,84.18,3,18.01
127.03,739.17,ev,petrol,51.43,3,8.62
21.01,564.46,truck_diesel,petrol,64.83,0,5.62
114.63,1294.51,ev,electric,36.56,4,3.54
252.14,521.84,two_wheeler,petrol,64.28,6,24.8
153.71,467.77,mini_truck,electric,39.11,5,8.28
136.79,1371.58,truck_cng,petrol,60.44,5,30.93
88.68,623.8,ev,electric,29.1,3,2.77
192.06,877.8,truck_diesel,petrol,62.79,0,58.3
50.91,439.28,mini_truck,electric,66.58,0,1.74
76.87,1787.4,truck_diesel,diesel,64.23,1,23.56
9.17,694.47,truck_diesel,diesel,75.84,0,2.63
22.38,684.28,truck_cng,cng,64.4,0,3.46
159.31,764.69,truck_diesel,diesel,66.43,4,46.36
85.65,334.72,truck_diesel,petrol,69.36,1,21.64
140.04,1189.64,mini_truck,electric,71.59,1,6.17
45.85,513.03,truck_cng,petrol,43.84,1,9.67
49.94,673.36,mini_truck,diesel,70.96,0,9.14
