temperature,refrigeration_load,inventory_volume,energy_kwh,co2_kg
30.0,0.0,709.83,314.66,169.75
13.33,0.0,957.29,708.88,362.84
18.09,0.0,1367.88,826.66,368.8
9.0,0.19,228.65,393.22,192.73
22.2,0.0,739.81,356.13,185.43
1.44,3.76,390.48,785.81,403.09
9.94,0.03,654.18,548.08,290.84
12.01,0.0,273.36,366.45,180.58
21.88,0.0,551.64,337.63,172.48
27.42,0.0,1343.78,754.87,383.11
18.42,0.0,867.86,547.93,269.99
17.4,0.0,331.81,273.2,133.19
19.21,0.0,391.65,330.35,138.11
-11.15,23.73,1281.25,3459.74,1706.97
4.05,2.08,1583.25,1610.75,821.5
10.8,0.0,430.58,359.39,184.12
8.36,0.08,537.66,584.99,298.7
19.66,0.0,48.75,108.54,50.8
13.38,0.0,444.56,397.9,192.31
24.7,0.0,1254.21,620.74,329.88
6.33,1.6,1016.59,1048.77,529.15
18.81,0.0,1223.02,843.69,430.83
19.84,0.0,168.44,155.93,75.14
21.1,0.0,604.33,382.68,187.64
2.76,2.54,579.89,932.76,453.3
18.6,0.0,146.07,156.68,73.65
6.71,2.45,498.1,777.97,376.46
11.75,0.0,1324.41,976.46,496.56
22.17,0.0,257.72,192.88,101.59
24.54,0.0,350.11,168.76,89.98
8.65,0.41,716.35,707.61,338.24
19.52,0.0,866.14,616.39,289.54
11.32,0.0,608.48,550.88,270.49
23.96,0.0,672.84,327.84,162.62
15.49,0.0,636.51,510.22,250.73
11.03,0.0,896.4,691.21,336.93
21.58,0.0,321.65,224.73,110.3
13.89,0.0,1298.07,916.93,429.33
17.44,0.0,1282.88,675.88,306.93
11.16,0.0,1154.97,740.83,372.72
7.88,0.58,625.1,678.88,338.15
21.54,0.0,484.04,293.59,138.06
11.88,0.0,574.37,480.84,209.44
1.16,5.51,1206.01,1549.83,773.25
16.77,0.0,2477.89,1354.16,697.79
24.18,0.0,883.59,330.43,169.14
30.0,0.0,263.28,145.33,64.01
12.98,0.0,356.49,355.46,170.02
4.98,3.08,635.67,794.12,401.35
4.54,2.79,189.06,708.01,346.19
16.67,0.0,682.82,439.47,224.19
30.0,0.0,1456.69,763.38,391.49
12.76,0.0,1165.5,708.1,379.58
9.15,0.1,397.11,426.03,199.86
14.45,0.0,100.06,233.88,103.47
19.26,0.0,615.6,428.48,221.65
23.06,0.0,1074.34,521.89,273.75
20.04,0.0,211.82,173.71,89.94
0.51,1.6,540.72,707.8,324.07
0.22,2.68,154.58,811.67,433.42
-4.82,9.69,536.58,1617.16,775.7
13.92,0.0,413.49,342.39,183.73
30.0,0.0,937.17,449.62,224.55
21.58,0.0,627.32,365.7,181.22
3.8,2.57,629.91,949.42,454.82
17.84,0.0,312.49,268.67,140.69
15.12,0.0,522.84,501.82,249.31
30.0,0.0,762.29,327.74,166.6
17.8,0.0,568.96,367.22,171.54
8.36,0.1,712.44,504.38,261.0
18.11,0.0,399.19,286.52,139.66
4.66,0.02,624.59,665.62,316.79
17.72,0.0,118.19,168.55,76.38
23.1,0.0,362.95,239.07,125.16
-14.7,0.52,376.76,940.39,434.61
14.34,0.0,285.48,253.79,118.06
9.96,0.0,889.86,861.21,435.86
16.37,0.0,732.37,554.38,258.48
27.21,0.0,408.1,183.44,90.13
11.81,0.0,743.22,549.39,285.94
30.0,0.0,315.61,160.93,80.13
15.89,0.0,477.62,361.63,183.56
18.28,0.0,209.15,190.9,91.82
4.23,0.75,362.35,577.89,288.95
3.67,2.37,874.86,968.9,440.21
30.0,0.0,341.39,173.05,89.08
27.93,0.0,749.04,430.56,212.33
13.71,0.0,866.09,511.19,233.34
8.52,0.55,258.1,438.17,211.67
4.72,3.85,119.75,770.67,369.88
9.19,0.1,234.37,373.02,182.14
4.09,0.12,538.61,578.2,266.58
-4.03,13.7,901.44,2367.36,976.54
23.06,0.0,1213.24,620.22,297.27
-5.83,2.81,432.87,956.73,444.21
1.8,0.87,343.01,694.52,317.65
19.48,0.0,284.21,220.84,109.43
20.75,0.0,448.33,262.12,135.16
17.37,0.0,697.87,495.14,213.29
8.61,0.3,262.13,359.27,174.23
25.62,0.0,800.76,369.17,190.76
20.73,0.0,306.95,244.14,117.34
24.09,0.0,678.94,354.05,175.97
10.43,0.0,438.16,453.56,231.11
13.46,0.0,432.58,392.03,185.09
20.11,0.0,839.54,515.27,233.43
16.21,0.0,973.7,573.72,281.59
30.0,0.0,370.6,194.45,94.55
7.72,0.96,489.01,628.34,301.18
9.81,0.13,114.3,264.9,121.6
17.15,0.0,337.22,274.75,130.05
9.11,0.27,314.38,385.67,192.93
27.42,0.0,119.48,57.2,28.62
20.23,0.0,543.38,419.75,198.51
22.16,0.0,744.7,404.12,206.34
24.24,0.0,2234.52,1368.21,659.05
9.63,0.23,1616.22,905.58,469.62
11.63,0.0,480.4,439.36,216.84
24.27,0.0,596.85,284.19,135.76
7.08,0.76,185.76,385.2,183.84
22.63,0.0,323.72,225.14,112.17
25.78,0.0,277.59,156.18,79.16
8.01,0.52,172.15,412.48,211.04
10.51,0.0,425.89,422.86,195.84
3.56,0.9,565.39,844.69,463.95
28.52,0.0,816.49,423.79,214.34
1.72,1.65,310.44,615.41,283.71
18.51,0.0,582.59,425.59,198.98
17.86,0.0,537.71,372.25,182.53
-3.97,1.28,1111.44,1278.21,628.46
8.51,1.64,343.73,566.32,253.82
12.24,0.0,1315.18,890.95,433.94
9.46,0.12,186.93,348.78,150.6
7.32,1.72,584.24,792.14,399.82
9.81,0.19,286.71,373.77,173.33
10.48,0.0,672.6,527.96,246.32
15.73,0.0,665.3,489.06,228.9
24.01,0.0,205.42,109.97,53.29
1.52,2.68,187.67,764.98,341.55
17.4,0.0,498.19,353.8,172.35
25.94,0.0,108.68,61.01,29.39
21.05,0.0,825.36,423.56,211.59
7.54,1.97,421.99,622.07,321.75
-2.57,5.84,640.62,1334.59,702.58
11.97,0.0,526.13,395.86,192.26
0.43,5.03,734.92,1085.25,558.74
8.66,0.57,1008.83,597.89,305.35
9.12,0.18,786.55,556.19,257.88
-3.45,4.28,1363.85,1370.58,629.57
26.35,0.0,326.97,147.21,77.42
17.38,0.0,122.7,166.19,79.83
26.1,0.0,1461.28,711.03,383.25
16.3,0.0,374.99,348.12,167.99
23.63,0.0,548.54,315.5,147.26
0.75,4.33,304.46,919.6,430.6
30.0,0.0,439.35,207.11,112.89
11.54,0.0,276.19,336.73,160.26
20.62,0.0,705.0,446.28,214.59
25.45,0.0,541.75,307.11,161.33
6.09,3.1,766.88,932.72,460.95
22.44,0.0,501.99,275.23,145.42
5.84,1.3,292.78,639.69,330.48
19.86,0.0,257.01,165.69,84.74
8.4,0.14,347.93,515.89,258.27
22.12,0.0,338.36,185.94,81.04
17.85,0.0,763.71,408.9,203.83
11.76,0.0,916.13,607.32,297.7
16.68,0.0,341.01,336.56,167.81
17.53,0.0,357.44,342.88,168.03
-0.14,1.04,608.95,800.94,392.28
6.32,0.72,380.57,573.95,259.93
14.43,0.0,616.57,493.44,225.37
16.49,0.0,996.0,648.17,316.78
22.97,0.0,696.42,350.26,191.08
22.82,0.0,778.77,422.37,194.75
22.07,0.0,286.63,156.21,79.66
26.92,0.0,609.38,289.53,149.57
17.56,0.0,630.22,451.63,224.64
12.26,0.0,663.99,477.4,214.09
15.89,0.0,242.73,223.11,105.38
30.0,0.0,358.77,175.67,84.15
10.37,0.0,378.61,447.55,213.81
11.44,0.0,485.94,434.58,207.43
-6.95,4.82,447.67,1069.78,509.04
24.53,0.0,395.22,192.61,92.15
26.63,0.0,372.45,170.72,85.36
13.55,0.0,398.58,364.1,174.36
20.02,0.0,500.0,331.17,152.36
20.73,0.0,929.43,494.98,236.33
15.39,0.0,682.93,486.75,237.67
21.19,0.0,314.48,201.61,102.71
30.0,0.0,1708.72,965.85,508.91
15.39,0.0,331.72,340.67,165.52
27.04,0.0,80.62,50.0,24.06
16.31,0.0,1540.65,878.19,467.58
4.8,1.04,357.47,618.49,303.43
26.74,0.0,995.69,584.11,267.84
-5.55,1.7,615.63,822.53,400.51
24.23,0.0,1008.41,468.41,235.81
15.25,0.0,374.07,384.11,199.56
12.31,0.0,445.14,498.88,246.07
5.48,1.77,801.23,892.71,470.47
17.35,0.0,874.92,648.38,323.67
30.0,0.0,839.29,393.91,191.68
4.39,3.37,147.22,781.88,363.06
30.0,0.0,764.98,402.68,195.95
6.9,0.09,856.21,648.29,319.62
-6.46,6.85,291.41,1360.02,622.22
11.11,0.0,330.46,343.43,159.52
12.47,0.0,1427.26,905.06,456.96
15.31,0.0,663.14,578.2,291.36
8.64,0.82,497.54,615.92,308.07
5.74,0.15,669.28,676.22,326.44
15.99,0.0,268.04,235.59,113.6
21.25,0.0,416.67,293.99,148.53
13.32,0.0,220.39,235.19,120.99
11.69,0.0,1350.29,981.79,526.34
8.1,0.05,653.06,544.38,274.07
17.05,0.0,318.32,296.65,131.38
2.81,0.98,404.75,624.07,308.1
15.35,0.0,1727.71,1030.33,517.48
7.1,0.36,209.99,424.27,208.35
30.0,0.0,152.88,68.8,35.83
18.97,0.0,1636.96,944.44,442.71
11.96,0.0,794.02,621.87,291.41
5.82,1.79,1241.08,1005.82,494.64
24.93,0.0,1570.89,689.02,345.63
26.02,0.0,643.84,307.31,148.83
16.91,0.0,305.57,272.02,144.42
-7.83,8.43,648.65,1561.0,716.03
14.99,0.0,511.35,412.33,197.7
16.99,0.0,739.67,458.58,241.88
9.05,0.37,960.09,661.7,317.33
21.03,0.0,407.42,276.46,148.0
-3.3,8.27,446.37,1687.21,884.17
6.19,2.95,334.87,726.44,354.0
15.31,0.0,268.04,293.29,144.36
8.85,0.27,605.17,639.14,310.81
17.24,0.0,549.99,468.55,228.02
11.08,0.0,360.65,393.97,190.05
20.5,0.0,433.75,290.94,156.88
10.2,0.0,860.6,726.77,328.62
12.26,0.0,774.49,501.99,244.2
10.25,0.0,449.0,447.7,205.59
15.46,0.0,251.19,317.96,164.77
22.19,0.0,421.72,258.03,112.42
17.21,0.0,426.24,293.99,137.09
27.32,0.0,510.09,252.22,117.23
0.75,3.67,994.82,1236.98,598.21
5.48,2.43,162.4,724.53,352.94
28.5,0.0,647.51,291.97,141.18
10.64,0.0,497.41,506.91,234.01
6.22,0.77,415.35,512.12,252.12
11.34,0.0,328.8,394.14,178.33
14.44,0.0,360.07,282.36,130.22
6.22,1.28,396.44,649.26,314.76
13.29,0.0,807.06,531.51,278.54
7.38,0.75,513.5,686.01,289.08
17.8,0.0,204.39,215.3,106.45
21.39,0.0,1259.79,749.81,365.08
6.87,0.35,1716.05,1115.19,558.47
3.78,7.73,656.71,1644.39,767.71
16.6,0.0,613.26,420.14,208.4
-8.65,3.94,603.55,1145.23,556.07
24.91,0.0,741.9,365.84,186.48
20.04,0.0,274.94,227.77,112.82
16.51,0.0,992.13,543.13,251.55
10.56,0.0,537.97,570.54,264.78
4.1,1.54,757.31,863.89,382.66
26.19,0.0,1219.24,602.66,319.29
19.81,0.0,904.77,554.27,284.23
12.46,0.0,970.9,692.76,335.67
7.78,1.14,1548.52,1108.04,546.53
13.62,0.0,977.48,683.03,310.58
5.71,0.84,947.66,948.75,480.06
6.36,2.07,600.04,915.99,458.39
5.27,0.66,543.99,693.61,367.11
30.0,0.0,481.34,264.01,135.66
8.26,0.77,413.47,536.26,270.15
21.63,0.0,1296.59,645.33,329.89
19.23,0.0,684.61,430.14,190.45
18.11,0.0,309.13,270.78,122.66
25.39,0.0,686.07,401.58,195.81
20.95,0.0,905.49,353.19,180.69
19.44,0.0,119.23,154.57,75.68
24.71,0.0,1213.65,530.26,235.35
28.32,0.0,660.47,339.34,176.38
20.22,0.0,574.65,341.75,167.42
15.62,0.0,440.67,383.73,197.58
13.31,0.0,456.53,290.34,141.79
29.91,0.0,368.9,205.17,97.52
4.46,3.57,391.72,930.26,459.5
13.36,0.0,326.88,273.41,143.07
14.63,0.0,875.62,626.57,300.46
21.46,0.0,739.44,405.39,197.41
8.51,0.53,614.23,619.12,295.9
26.56,0.0,237.72,113.16,54.88
8.14,0.09,354.13,438.95,209.85
15.23,0.0,466.92,402.59,187.88
24.58,0.0,1964.8,1059.13,547.69
9.81,0.09,352.76,402.9,182.1
-6.21,3.89,858.37,1264.78,586.48
8.44,0.98,413.72,472.48,252.84
5.59,0.12,799.2,548.48,276.25
-2.47,12.11,530.11,1687.84,824.19
19.17,0.0,281.35,241.29,103.99
-2.69,1.02,762.73,1011.26,495.93
29.83,0.0,726.62,447.31,193.55
22.03,0.0,101.33,102.47,48.41
7.25,2.03,628.03,765.87,374.23
15.54,0.0,608.82,511.28,262.69
30.0,0.0,309.06,120.23,59.69
10.51,0.0,612.84,580.4,289.92
9.06,0.12,1120.38,808.25,377.38
18.75,0.0,809.55,509.37,262.23
21.28,0.0,10.92,59.51,29.92
13.63,0.0,869.48,581.07,332.36
24.31,0.0,714.69,384.57,183.53
24.59,0.0,397.11,205.77,95.55
30.0,0.0,575.54,279.2,137.64
20.73,0.0,475.13,354.38,158.23
18.18,0.0,510.9,312.35,154.46
17.03,0.0,197.1,214.44,107.08
21.24,0.0,169.24,151.09,72.68
25.09,0.0,406.67,180.35,100.01
13.88,0.0,958.84,637.85,325.1
4.45,1.05,506.9,698.5,341.67
3.85,1.82,659.72,845.22,403.12
2.47,2.55,853.2,1018.8,485.43
-1.86,1.02,536.5,791.04,379.3
10.95,0.0,1016.22,707.72,345.42
13.34,0.0,669.35,498.39,230.71
4.58,0.9,186.43,470.7,219.53
30.0,0.0,571.88,273.93,133.21
25.06,0.0,753.57,332.11,186.06
22.06,0.0,462.62,282.08,150.61
-1.21,4.79,359.73,1159.32,573.77
15.44,0.0,743.21,488.72,241.88
25.58,0.0,325.99,164.44,79.46
1.59,1.68,433.61,670.58,317.08
0.61,5.9,583.45,1332.26,621.23
7.31,1.64,222.03,501.82,254.64
7.38,1.56,1251.35,1054.51,523.1
13.6,0.0,247.71,326.09,153.48
27.97,0.0,1179.03,619.42,303.38
30.0,0.0,678.6,291.95,150.74
7.3,2.14,375.48,691.38,355.45
9.23,0.17,1629.99,1064.43,532.97
20.61,0.0,151.38,131.0,65.42
17.79,0.0,1568.27,800.63,421.44
-2.51,10.15,845.16,1810.69,929.08
29.73,0.0,885.21,465.66,237.03
6.28,1.01,777.27,811.53,391.0
27.09,0.0,892.09,373.92,197.93
8.71,0.85,477.64,531.46,257.64
18.02,0.0,260.19,274.48,128.74
2.92,2.39,532.83,740.58,328.78
3.69,2.15,550.24,886.24,413.83
17.9,0.0,1178.52,704.85,339.8
27.13,0.0,451.34,234.69,110.04
7.03,2.33,801.63,872.64,404.64
30.0,0.0,494.32,244.51,119.92
9.89,0.02,208.43,290.92,137.65
-2.33,5.86,363.75,988.47,513.29
24.99,0.0,277.02,128.0,64.37
-7.72,3.47,648.66,1280.44,618.63
18.07,0.0,325.63,252.36,127.29
22.31,0.0,789.64,309.84,162.56
14.19,0.0,634.25,441.62,223.58
15.86,0.0,387.69,336.04,157.77
30.0,0.0,210.21,88.69,45.2
29.92,0.0,1150.74,549.83,244.56
13.5,0.0,962.39,618.55,310.38
0.02,3.92,510.36,963.97,475.43
14.74,0.0,996.29,556.66,283.83
27.3,0.0,400.69,243.4,114.29
22.95,0.0,906.33,529.76,257.76
11.55,0.0,295.1,353.15,176.7
20.77,0.0,748.61,469.02,252.5
20.03,0.0,266.54,224.91,110.09
28.28,0.0,347.73,159.42,80.96
18.89,0.0,707.19,367.9,188.1
14.4,0.0,664.63,492.22,263.83
15.76,0.0,1255.99,765.01,398.47
16.98,0.0,320.72,291.3,148.24
3.47,1.78,693.5,724.07,350.65
5.87,2.24,1050.79,1034.84,543.32
20.71,0.0,581.16,380.17,193.83
13.45,0.0,340.59,364.06,187.72
23.95,0.0,399.59,213.21,105.98
30.0,0.0,942.8,490.63,243.75
14.28,0.0,528.31,415.81,193.05
6.11,2.39,994.21,1111.23,550.33
6.01,2.28,627.0,881.46,426.98
9.62,0.08,461.34,429.1,193.42
1.81,4.42,180.93,909.78,430.85
3.77,1.3,698.03,832.43,388.45
8.18,1.02,743.3,748.35,395.91
5.03,1.39,1230.29,951.65,473.53
9.24,0.29,580.29,504.63,238.66
15.44,0.0,515.11,398.14,195.18
12.55,0.0,1965.28,1186.57,544.43
15.98,0.0,79.88,199.79,101.58
9.31,0.05,520.7,484.11,213.82
16.43,0.0,205.54,198.78,93.4
14.61,0.0,962.36,679.55,306.47
-0.0,2.45,106.26,570.77,253.69
5.76,1.45,473.29,684.66,351.95
7.74,1.19,693.6,752.15,351.56
19.08,0.0,500.49,339.85,178.88
3.01,2.36,1000.02,986.57,483.01
25.56,0.0,532.29,227.54,111.98
13.48,0.0,271.93,320.08,156.82
9.59,0.02,231.44,370.14,187.26
14.85,0.0,48.53,166.33,85.28
22.99,0.0,1023.52,569.1,290.24
24.21,0.0,401.28,192.43,94.12
27.72,0.0,956.64,524.99,278.0
12.49,0.0,265.89,350.69,171.74
9.06,0.37,784.7,728.4,362.16
-2.2,0.9,268.67,459.33,234.59
27.21,0.0,903.54,438.66,234.25
11.72,0.0,97.48,245.17,118.49
28.51,0.0,342.05,193.57,98.6
11.28,0.0,522.21,414.97,196.37
2.62,6.37,642.69,1254.51,648.68
21.95,0.0,634.82,379.94,196.84
24.49,0.0,559.24,303.61,159.39
15.69,0.0,429.99,340.85,164.26
24.81,0.0,176.91,77.68,39.88
30.0,0.0,1507.17,883.05,426.46
-1.72,3.81,138.93,829.13,416.7
21.61,0.0,403.9,252.93,133.23
21.32,0.0,325.25,208.08,104.32
5.38,5.33,491.18,906.22,415.96
13.55,0.0,247.32,245.13,123.71
11.89,0.0,377.62,419.33,206.66
8.71,0.52,422.16,463.88,215.16
16.87,0.0,597.41,349.79,181.97
13.35,0.0,729.14,480.77,245.16
16.65,0.0,1382.63,873.73,395.78
-1.92,5.54,193.95,1021.93,521.58
12.13,0.0,288.21,308.74,155.53
11.73,0.0,341.86,354.41,175.09
-16.72,7.36,298.48,1384.04,635.65
11.88,0.0,576.99,463.32,227.99
16.33,0.0,264.95,260.54,122.9
10.78,0.0,1278.34,914.83,476.42
19.34,0.0,574.86,341.15,163.45
-0.05,5.23,354.59,1048.44,542.57
8.26,1.21,440.44,611.64,280.66
11.42,0.0,692.71,492.28,240.64
14.99,0.0,257.68,306.03,139.98
30.0,0.0,673.24,289.25,131.41
18.14,0.0,1080.47,632.6,299.91
29.77,0.0,824.18,422.93,215.51
30.0,0.0,652.19,348.24,173.56
7.27,0.24,571.37,629.72,318.01
30.0,0.0,1438.74,654.93,336.85
24.84,0.0,703.17,291.03,146.04
7.86,0.14,745.03,591.65,280.34
12.07,0.0,48.87,252.16,114.95
3.51,5.44,1209.98,1370.63,632.51
-3.41,1.88,451.45,795.07,368.86
12.97,0.0,1246.03,888.1,424.58
20.27,0.0,884.23,432.85,218.62
27.9,0.0,679.1,355.0,174.31
9.23,0.11,614.52,532.51,267.91
16.03,0.0,773.3,488.21,245.89
5.21,2.51,550.23,883.82,419.75
19.05,0.0,241.94,206.37,103.94
30.0,0.0,687.03,353.79,179.39
0.96,1.34,873.96,792.28,390.87
14.83,0.0,930.76,550.6,274.07
15.81,0.0,168.08,228.8,109.97
4.16,2.81,326.19,697.77,335.22
11.9,0.0,741.51,526.51,267.82
1.55,1.54,237.2,582.84,265.88
4.53,1.83,1571.44,1100.86,550.05
8.88,0.98,968.75,923.7,455.65
30.0,0.0,905.59,464.34,217.94
10.67,0.0,432.41,390.98,186.22
20.42,0.0,476.41,318.1,162.36
-1.57,2.81,823.99,1072.73,544.21
15.26,0.0,732.12,481.92,239.93
14.74,0.0,736.81,516.29,259.8
19.74,0.0,575.87,393.24,200.98
27.66,0.0,585.48,336.61,164.71
7.33,0.65,318.5,461.07,221.45
5.16,2.25,502.66,780.74,404.32
20.66,0.0,443.78,304.07,149.7
9.35,0.09,718.75,572.2,289.4
2.07,5.43,1414.46,1831.9,887.26
2.87,4.37,161.65,906.84,433.6
1.95,4.53,908.79,988.44,492.01
14.49,0.0,624.23,441.95,218.27
24.83,0.0,504.85,256.92,129.46
3.2,2.31,1180.69,1006.19,481.44
10.51,0.0,820.36,680.54,329.72
18.73,0.0,379.57,268.48,127.17
21.48,0.0,312.89,232.22,121.4
8.91,0.48,543.54,609.71,302.96
22.02,0.0,695.22,386.13,192.02
3.87,0.63,219.05,506.77,253.08
4.93,2.61,247.93,635.85,325.93
0.53,0.93,428.24,659.28,342.93
16.3,0.0,255.38,263.7,129.17
1.94,0.87,337.99,622.91,313.45
30.0,0.0,540.59,274.43,135.25
24.6,0.0,640.31,353.64,186.67
12.98,0.0,198.95,298.62,152.71
26.88,0.0,511.5,258.08,125.04
7.51,0.75,435.9,627.81,322.19
21.2,0.0,280.71,178.91,92.49
2.58,3.53,1134.81,1008.33,463.34
-8.62,8.71,770.55,1465.47,745.92
16.88,0.0,234.44,252.35,123.65
-0.3,4.77,637.43,1337.78,608.68
6.46,1.81,1002.82,819.51,402.73
24.25,0.0,473.97,197.76,93.43
5.73,0.67,990.85,1002.66,506.48
10.49,0.0,327.75,343.53,172.58
15.95,0.0,700.01,490.74,237.94
13.5,0.0,671.86,523.66,251.55
29.77,0.0,287.97,137.69,58.68
23.38,0.0,482.61,265.32,136.52
13.77,0.0,395.19,421.69,221.25
12.89,0.0,616.98,498.64,266.61
13.3,0.0,779.13,593.62,295.0
2.65,4.2,520.4,751.06,395.66
8.29,1.42,587.61,718.17,364.28
-9.61,5.66,318.0,1163.2,543.3
14.23,0.0,998.67,751.22,383.89
26.89,0.0,501.68,245.68,129.69
-2.42,11.52,572.76,1862.86,902.24
11.24,0.0,503.19,443.65,226.9
18.01,0.0,434.31,292.51,134.17
9.43,0.25,378.15,388.06,182.49
13.24,0.0,633.9,466.14,243.45
6.82,0.83,346.78,576.06,261.07
21.45,0.0,387.13,264.17,129.24
12.49,0.0,223.54,265.96,134.6
6.45,3.43,447.86,772.34,389.43
1.57,1.2,265.49,586.41,289.88
30.0,0.0,448.55,213.29,112.54
1.29,1.84,349.03,614.52,323.6
18.34,0.0,592.57,411.02,190.13
10.18,0.0,442.32,484.26,236.35
22.48,0.0,659.59,355.55,182.23
10.94,0.0,537.53,523.45,250.4
20.36,0.0,253.68,228.94,115.6
6.59,1.24,818.34,741.04,334.34
-7.68,6.74,521.45,1184.1,621.51
7.87,0.42,208.4,384.34,170.66
17.36,0.0,544.83,472.33,227.04
19.64,0.0,841.28,469.54,233.89
13.25,0.0,500.01,548.57,292.63
10.53,0.0,185.17,315.33,141.67
11.95,0.0,967.76,541.31,303.73
8.01,1.02,1309.44,904.37,427.25
22.34,0.0,314.46,181.41,89.52
28.42,0.0,678.19,365.1,191.72
17.59,0.0,724.31,483.88,236.13
23.46,0.0,171.29,110.88,52.97
14.75,0.0,852.52,557.67,292.53
20.8,0.0,281.78,190.12,95.63
24.15,0.0,481.17,237.76,121.39
3.99,2.82,200.92,648.65,329.42
5.85,0.5,967.56,974.34,445.91
7.66,1.5,545.71,659.44,317.41
7.88,0.15,438.41,459.64,235.37
11.59,0.0,311.38,319.93,145.31
11.75,0.0,443.72,387.88,196.13
26.12,0.0,1421.93,763.23,379.34
20.34,0.0,63.3,101.81,50.39
20.98,0.0,1823.39,1096.16,562.89
-7.47,11.52,363.15,1952.65,914.07
5.05,0.9,533.24,674.09,326.09
4.87,1.97,1507.31,1036.77,520.87
26.42,0.0,708.62,294.0,146.31
30.0,0.0,599.66,328.29,153.53
3.75,3.34,155.81,613.23,289.38
1.73,1.19,335.85,599.34,294.67
8.63,0.55,610.96,614.43,326.69
9.8,0.12,806.77,692.78,334.9
7.14,0.4,826.64,737.0,358.02
28.41,0.0,386.01,208.3,102.95
30.0,0.0,708.01,338.92,176.56
9.64,0.19,593.43,513.52,267.37
30.0,0.0,299.13,142.23,68.09
15.06,0.0,815.76,505.62,254.17
30.0,0.0,446.13,214.04,105.26
25.58,0.0,225.51,117.19,55.17
16.29,0.0,916.51,610.95,298.65
19.96,0.0,293.31,204.06,98.5
-6.34,10.07,700.85,1611.67,763.71
-8.19,9.02,297.8,1368.98,649.18
5.09,4.73,506.42,950.91,496.28
22.17,0.0,682.77,319.15,159.92
7.39,1.23,649.35,710.71,335.91
5.45,1.28,263.88,575.97,263.62
21.79,0.0,715.73,410.59,186.47
19.42,0.0,1042.16,645.41,330.71
14.95,0.0,245.86,279.38,129.35
1.78,4.6,1023.07,1428.04,696.28
27.21,0.0,723.73,437.38,223.47
11.24,0.0,1245.26,795.51,377.59
19.94,0.0,180.71,168.94,78.26
20.7,0.0,536.55,342.65,158.53
22.92,0.0,257.43,141.87,66.8
5.98,1.23,885.52,915.66,480.75
13.26,0.0,874.15,566.06,262.64
21.06,0.0,423.58,247.72,124.32
7.9,0.51,288.43,508.54,260.06
20.68,0.0,186.79,165.43,86.82
22.01,0.0,428.76,306.15,164.74
19.71,0.0,999.58,607.43,311.91
30.0,0.0,1166.03,589.11,297.57
5.5,4.75,121.24,803.7,420.58
6.89,1.99,392.29,740.87,358.11
21.98,0.0,301.04,199.19,94.25
15.35,0.0,200.55,254.37,126.33
30.0,0.0,394.47,205.41,107.76
5.54,0.9,170.35,456.78,217.19
25.95,0.0,241.23,116.05,55.55
18.43,0.0,684.48,494.97,232.65
15.05,0.0,610.02,419.73,198.55
5.62,0.89,667.45,562.65,260.16
10.6,0.0,933.2,678.61,337.99
25.59,0.0,345.41,147.13,76.26
8.03,1.18,216.12,507.75,233.68
-0.36,10.52,223.57,1518.32,731.58
12.72,0.0,209.69,322.49,134.54
