energy_kwh,machine_runtime_hours,furnace_usage,cooling_load,shift_hours,co2_kg
4784.47,13.21,0.01,1306.16,16,3296.79
3180.07,4.11,0.92,42.15,8,1578.78
6812.91,12.77,0.19,410.39,16,4111.29
20925.09,14.71,3.4,224.46,24,13393.1
5865.2,5.99,0.33,135.27,8,3074.3
13439.96,15.81,4.35,370.16,24,9056.65
6268.78,11.23,2.37,258.86,12,3367.25
3142.62,6.27,0.64,205.53,12,1623.66
6752.35,16.09,0.23,422.87,24,4690.28
12137.39,16.5,0.22,357.78,24,7850.37
16623.85,17.86,1.77,390.69,24,10501.81
11418.46,14.83,1.52,367.76,24,7612.72
3390.28,8.96,2.28,162.58,12,2012.59
7543.65,10.98,0.61,486.17,12,4514.2
10006.36,10.92,2.12,598.82,12,5636.62
12354.17,16.59,1.04,60.7,24,7462.03
7715.56,12.19,0.07,40.65,24,4833.04
10582.67,22.59,2.26,244.31,24,6410.68
10909.74,12.18,0.15,233.78,16,5621.28
13311.6,22.24,0.74,351.26,24,8428.17
3774.27,10.56,0.14,202.53,16,2141.06
2520.02,8.84,1.28,525.74,12,1600.99
2083.61,12.68,0.38,444.92,16,1316.26
6928.02,6.74,0.66,164.06,12,3396.43
4495.39,23.72,3.15,46.65,24,3075.29
6875.65,9.53,2.01,120.93,16,3851.66
4654.59,7.62,0.05,108.73,8,2416.14
3869.76,6.7,0.46,395.37,12,2224.93
3082.69,11.74,2.24,446.51,12,1861.5
3582.64,6.0,3.01,263.58,8,1951.89
5215.9,9.57,0.34,74.75,16,2651.09
12748.43,17.19,1.15,132.51,24,7418.5
6960.4,4.72,2.57,136.72,8,3338.74
2335.92,5.95,1.53,113.73,8,1260.24
13603.22,17.04,0.35,226.52,24,8186.62
5142.94,7.77,0.58,199.4,8,2668.98
9299.99,7.89,1.25,567.79,12,5183.11
12587.04,21.26,4.17,234.24,24,8243.22
7580.12,14.76,2.29,136.89,16,4067.35
5233.57,14.98,1.53,798.17,16,3331.16
2671.2,10.67,2.85,478.34,12,1705.43
5090.67,10.01,1.16,252.38,16,2919.05
4342.99,11.65,2.65,168.91,12,2412.06
1633.07,4.73,1.26,154.26,8,813.73
2782.13,23.28,0.24,448.41,24,1842.75
3770.8,11.29,0.98,71.21,12,2004.68
7585.13,15.01,0.59,776.39,24,4979.83
5897.78,10.97,0.07,44.9,16,3337.81
6421.26,6.68,3.56,217.37,12,3503.84
14871.43,11.15,3.35,347.75,16,8619.39
10626.63,10.42,4.26,41.7,16,5776.02
3157.69,6.78,0.54,313.51,8,1595.01
8821.37,11.43,1.45,407.46,12,4902.33
16591.21,19.17,3.13,110.19,24,10041.11
8918.95,15.17,5.44,141.99,16,5181.12
12174.4,11.71,0.94,110.97,12,6524.07
3506.61,7.5,0.35,885.77,12,2197.71
3032.54,8.15,1.35,154.12,12,1625.86
2531.31,11.55,0.52,120.77,12,1451.01
7771.62,6.14,1.39,249.59,8,3844.7
6143.79,7.11,1.04,76.14,12,3272.77
6209.25,11.24,0.23,249.65,16,3441.4
14405.28,11.52,0.15,482.54,16,7927.04
3101.59,10.75,0.79,847.84,12,1867.81
15321.28,15.28,1.58,166.61,24,9663.88
21265.85,23.46,0.95,162.28,24,13068.49
8924.24,19.39,1.04,194.04,24,5992.95
8970.53,13.82,2.16,392.08,16,4718.58
5888.75,11.07,0.78,259.23,16,3446.91
2764.89,7.32,4.29,469.76,8,1618.24
13223.07,11.72,2.3,309.67,16,7103.32
11651.12,17.29,2.02,236.5,24,8173.35
2828.21,4.29,2.8,188.55,8,1352.44
11480.28,12.4,0.42,203.84,24,7287.61
9333.21,8.54,0.21,330.05,16,5643.53
12663.64,17.85,2.39,40.82,24,8343.4
7840.9,11.31,0.89,456.08,12,4650.91
8131.58,6.09,1.44,187.76,12,4260.44
7242.29,7.04,1.19,129.54,12,3418.12
13680.61,13.36,0.43,182.36,24,8316.71
4468.58,5.92,1.67,456.43,8,2275.47
22421.25,23.28,2.72,254.89,24,13903.91
8973.66,7.11,2.35,202.79,12,4669.67
4405.37,5.56,0.3,261.59,8,2111.11
12254.89,12.13,1.23,353.3,24,8481.38
2276.96,23.84,1.01,122.9,24,1620.01
10758.18,15.29,0.01,911.5,16,6080.15
9147.37,14.84,1.12,178.34,16,5675.29
18034.86,18.45,0.34,580.1,24,10415.95
3723.94,7.89,0.61,195.85,12,2026.96
3129.15,8.82,4.01,271.67,12,1981.62
2013.63,6.35,0.48,133.94,8,1060.85
5509.87,8.82,0.67,521.63,12,3153.15
8403.94,20.9,0.15,118.19,24,5382.56
3739.04,6.82,3.82,246.17,8,2065.84
8189.74,8.85,6.04,396.04,16,5021.97
14428.26,12.29,1.34,45.16,24,9360.87
16778.67,12.88,0.19,298.22,16,9048.52
5732.61,6.72,0.26,142.32,12,3308.9
5677.13,21.4,1.01,529.64,24,4106.41
3364.26,15.75,5.37,237.22,16,2336.63
4938.35,8.6,1.74,87.44,16,2818.92
3327.89,7.63,0.7,9.97,8,1712.61
4053.66,7.38,1.78,382.85,8,2242.16
5893.54,22.4,4.34,488.23,24,4308.84
7072.03,14.81,0.39,428.75,16,3829.06
5235.6,6.61,1.03,446.15,8,2484.95
8784.85,14.05,0.2,425.57,16,5137.88
4086.31,4.68,0.01,123.37,8,1961.83
3263.85,5.14,0.07,559.06,8,1658.1
5883.13,11.02,1.47,207.17,12,3212.25
11725.23,15.38,1.58,344.82,24,7212.42
4087.15,6.07,1.62,543.46,8,2031.15
4852.49,14.46,1.63,102.45,16,2924.1
15477.5,20.32,2.2,395.34,24,10315.55
4862.97,11.94,4.31,455.43,16,2925.05
7766.27,17.51,0.0,127.29,24,4667.86
5731.75,11.16,2.97,467.67,12,2870.97
3089.63,4.27,2.14,121.05,8,1483.55
12585.21,22.5,2.14,780.27,24,8287.84
8533.01,10.9,2.22,37.6,16,4969.62
17514.32,14.23,0.98,188.89,24,10944.07
5040.31,5.04,1.2,315.78,8,2463.47
3731.9,7.43,2.12,457.22,8,2113.0
5403.63,12.73,1.32,247.64,16,3149.1
12199.98,21.81,0.39,394.05,24,8270.3
5700.05,11.12,0.39,245.46,12,3249.47
6211.39,6.15,2.59,184.86,12,3147.1
11110.08,8.4,2.12,124.97,16,6175.27
1981.31,9.61,1.74,147.4,12,1029.51
8019.54,6.29,2.56,475.89,8,4312.23
7614.11,6.66,3.75,170.92,8,3984.1
10053.31,9.16,0.1,62.38,16,5758.02
3101.01,8.89,0.94,354.31,12,1708.26
6685.58,14.49,1.89,208.0,24,4227.33
11096.72,16.43,0.81,470.62,24,7306.65
29114.89,16.83,2.38,667.88,24,17333.7
3916.01,4.89,0.33,94.26,8,1919.44
7346.57,6.85,0.73,310.44,12,4140.01
11526.19,11.75,0.11,99.84,12,5761.04
7800.42,21.34,1.42,66.71,24,4804.06
6371.13,14.21,1.07,382.2,16,3717.65
10449.63,9.29,0.96,204.47,12,4958.52
6693.15,13.35,1.7,238.51,16,3668.7
7811.29,11.48,1.31,315.87,12,4175.08
2466.42,4.51,0.02,235.83,8,1249.04
2057.52,4.72,1.67,683.24,8,1330.66
3263.24,15.69,1.2,648.67,16,2223.0
22399.03,23.64,0.11,520.15,24,15785.34
15765.35,23.09,0.68,329.97,24,9808.0
15124.13,20.49,0.56,364.31,24,8807.11
4532.48,7.08,0.14,242.77,12,2412.09
2344.14,4.62,5.39,238.97,8,1279.94
2565.93,6.02,1.61,519.72,8,1510.49
13933.85,13.68,1.82,243.18,16,8066.69
11873.91,15.49,0.13,401.37,16,6684.19
9912.96,8.95,1.09,621.21,12,5155.39
4668.53,6.86,2.14,716.28,8,2520.02
1513.98,7.96,0.67,43.62,12,772.14
3047.62,9.02,1.38,262.81,12,1627.57
4928.42,11.8,0.96,531.67,12,2819.4
5111.77,6.14,2.0,179.86,8,2359.76
3312.29,9.94,1.17,94.83,12,1819.59
14365.01,20.09,1.29,103.24,24,9432.36
12890.24,17.63,4.31,202.66,24,9522.1
8111.39,13.26,3.66,142.96,16,4317.07
16999.41,19.18,0.11,271.25,24,11078.28
8919.65,11.87,1.81,120.05,16,5419.24
13350.6,11.35,2.21,340.6,16,7840.8
2204.83,9.84,1.19,263.15,12,1357.46
7350.56,8.76,0.99,97.71,12,3485.2
4188.72,8.71,0.23,313.84,12,2346.9
7868.8,10.54,2.64,335.95,12,4445.91
6083.19,10.13,1.13,293.2,12,3203.84
1147.92,5.27,3.03,1200.0,8,1061.23
2929.79,10.48,1.34,75.38,12,1528.23
6257.53,14.62,2.18,237.0,16,3602.5
5847.7,5.09,0.53,348.32,8,2843.89
6770.14,12.85,0.35,345.95,16,4133.64
10524.52,19.46,0.98,388.9,24,7148.58
1438.03,6.76,6.45,354.3,8,964.02
2446.6,10.67,0.26,575.19,12,1551.27
3819.4,6.16,0.58,170.34,8,1854.74
12392.1,14.26,4.88,497.99,24,9185.42
7457.51,18.75,2.18,250.64,24,5171.58
3018.11,10.42,0.46,908.29,12,1894.71
3460.39,5.03,0.55,187.84,8,1738.89
2110.2,7.92,1.98,477.47,8,1273.57
11507.54,14.2,0.11,114.64,16,6290.17
16696.93,16.37,0.62,437.06,24,10569.42
4616.4,6.2,0.36,834.07,12,2758.66
8014.02,7.16,1.46,359.82,8,3920.69
6341.1,23.13,0.46,469.67,24,4192.96
10106.51,13.09,3.71,162.62,16,5988.59
14451.52,19.31,1.62,470.03,24,8416.86
6385.99,11.84,1.6,241.21,12,3468.59
17563.1,21.52,3.24,1048.73,24,11726.14
11727.73,12.27,0.84,35.66,16,6716.7
7440.01,9.95,0.35,637.47,16,4124.43
2851.37,14.3,4.68,679.61,16,2189.18
5709.62,11.98,0.69,195.01,12,2891.98
2455.82,5.72,0.62,271.83,8,1313.93
9542.32,8.54,1.34,692.86,16,5881.68
4186.89,7.13,0.23,109.24,8,2108.65
2038.04,7.09,0.49,283.79,8,1128.79
4365.54,7.47,1.03,72.71,12,2392.83
5569.66,7.16,1.37,254.64,8,2733.46
2561.02,6.12,0.02,222.5,12,1294.89
13508.92,8.9,3.72,103.92,16,7349.78
9961.21,9.98,0.83,194.16,16,5742.58
2493.56,13.6,2.58,68.84,16,1589.4
13907.89,21.99,0.76,672.37,24,9624.06
3046.3,6.54,1.07,744.55,8,1722.65
2168.69,8.64,4.83,515.14,12,1434.12
4191.02,5.03,0.89,555.53,8,2208.73
2422.1,7.85,5.2,340.52,8,1387.08
7659.18,8.64,6.76,462.12,16,4569.31
25045.25,18.6,0.68,379.04,24,15850.33
2743.29,4.53,2.19,340.05,8,1444.53
7377.96,8.65,1.55,59.21,12,4111.44
2878.96,7.93,2.44,352.84,8,1669.7
7627.52,11.39,4.29,238.71,12,3990.35
7613.31,14.9,0.89,385.95,16,4229.18
6307.33,15.96,1.69,67.8,24,3871.22
12414.99,11.9,0.77,214.23,12,6443.17
8562.69,9.83,0.23,237.32,12,4545.4
20740.98,22.65,0.27,689.95,24,13425.35
4337.98,11.27,4.35,29.18,12,2426.51
5928.45,16.89,2.13,544.91,24,4542.28
4385.5,8.71,0.27,642.14,16,2587.17
7178.87,10.7,1.44,60.57,12,3669.89
6908.74,16.19,0.52,159.41,24,4417.65
5834.68,9.4,0.88,135.82,16,3436.79
5081.7,9.97,0.9,278.27,12,2836.95
4107.56,7.46,0.4,231.43,8,1973.37
8513.63,11.53,1.31,870.91,16,4904.3
6703.58,20.38,0.75,396.6,24,4438.99
1666.02,4.45,0.47,373.1,8,998.72
4818.98,6.56,0.8,439.07,12,2597.97
7431.19,10.83,0.09,230.52,16,4151.74
5812.07,7.31,0.77,515.5,8,3013.97
9616.16,15.23,2.63,61.77,16,5449.39
4697.45,15.55,1.25,205.84,16,2705.6
5906.7,15.91,2.38,281.77,16,3620.23
5599.35,7.35,0.45,207.37,8,2904.21
1097.65,6.48,0.42,286.98,8,621.84
1689.88,5.17,3.25,90.61,8,846.23
9704.02,6.37,1.71,256.29,12,4915.31
6405.58,12.23,1.24,620.49,16,4064.43
12154.3,7.8,0.09,215.16,12,6368.04
7828.37,9.28,2.87,437.67,16,4759.74
7661.28,9.51,0.47,154.57,12,4176.59
6552.37,9.48,0.42,96.94,12,3671.36
3079.94,6.4,1.85,239.9,8,1466.49
2537.71,21.14,0.89,401.6,24,1822.66
11125.57,13.38,0.87,187.92,24,7481.58
10964.01,22.03,1.98,223.7,24,7870.07
3416.98,7.07,1.24,76.36,8,1586.19
6580.13,21.92,0.81,430.71,24,4210.29
5254.24,12.35,1.08,96.46,24,3208.5
6153.34,8.88,1.94,348.53,16,3461.67
5756.78,6.13,1.75,331.61,12,3555.09
19017.78,15.48,0.86,150.05,24,11557.61
5493.47,11.84,0.33,132.84,16,3166.71
2144.11,9.96,0.75,181.33,12,1272.65
10706.81,10.34,3.29,206.43,12,5785.33
2637.74,12.14,2.76,182.39,16,1466.39
5490.29,7.33,0.21,382.01,8,2765.87
3747.91,11.01,1.24,321.6,12,2343.42
8338.61,8.6,1.66,546.69,16,4859.08
7015.22,9.22,0.41,849.0,12,4115.7
4655.03,5.54,0.73,99.22,8,2178.14
13694.51,16.54,1.4,372.09,24,8353.77
7799.59,18.56,2.25,476.57,24,5171.82
11985.51,12.23,0.47,303.78,16,7359.21
6315.72,15.42,2.31,258.28,16,3714.6
6995.97,9.98,0.19,873.52,12,3917.41
14904.93,16.39,0.76,146.41,24,9777.24
8765.93,10.48,0.27,1031.75,12,4808.37
9490.2,16.22,0.76,316.05,24,6369.77
6351.69,9.0,2.24,140.65,16,3573.32
3024.56,8.81,1.32,554.56,12,1800.2
4686.27,8.08,6.75,406.28,12,2893.81
10145.5,9.68,0.97,64.23,16,5270.24
10283.77,15.22,0.79,161.49,16,6041.56
15194.25,13.12,2.09,260.07,24,9065.63
10592.22,23.08,0.67,61.29,24,6571.5
6893.17,11.08,2.15,119.35,12,3745.52
6751.79,6.91,1.01,160.3,12,3502.74
7072.98,11.18,3.73,74.03,16,4481.03
4947.08,7.45,1.87,169.45,8,2432.76
7196.18,9.77,4.16,550.58,16,4788.93
3759.89,7.98,2.11,53.33,12,1985.39
9916.0,10.27,0.99,413.21,12,4709.63
4946.25,5.27,2.36,335.91,8,2476.07
11544.5,9.65,0.94,13.46,16,6246.17
5786.81,6.2,1.03,153.66,8,2796.15
15346.96,21.58,0.93,203.61,24,9652.51
13379.62,8.99,0.84,451.82,16,7624.77
5546.67,12.03,2.97,346.04,24,4063.22
3415.53,6.44,0.61,532.31,8,1945.51
4880.57,6.94,1.64,184.23,12,2631.94
8723.33,7.59,4.89,135.18,12,4467.1
3373.62,5.79,0.89,524.7,8,1763.2
4972.16,17.91,0.03,310.83,24,3180.59
3527.65,5.8,2.29,97.18,8,1810.16
3034.56,5.01,0.02,551.75,8,1774.85
9985.04,12.99,3.05,300.41,16,6186.21
4398.02,5.41,2.69,444.57,8,2422.05
9229.08,9.84,0.65,291.61,16,5269.3
8278.27,6.3,1.82,49.82,8,3928.63
12740.68,20.25,0.32,409.49,24,7307.0
3760.51,9.43,0.33,307.8,16,2429.64
3122.61,23.22,1.96,88.64,24,2257.78
17534.59,20.87,0.4,386.61,24,11235.34
6167.11,7.43,1.75,150.78,12,3162.07
4194.63,11.51,1.27,142.26,12,2226.13
7041.65,9.69,1.17,1217.4,12,3830.15
7640.76,9.6,1.8,108.86,16,4298.02
1288.52,4.34,4.29,356.33,8,771.65
10141.87,11.37,1.84,340.89,12,5495.81
17377.62,16.33,1.01,325.17,24,11731.77
5334.31,7.88,2.92,143.63,8,2416.11
6444.93,7.4,0.97,307.4,12,3294.34
2964.24,7.51,1.13,155.57,12,1514.77
3751.55,9.8,0.06,245.64,12,2196.65
4938.85,6.18,0.35,106.67,12,2695.0
7578.83,9.12,4.16,123.41,12,3776.03
5994.81,7.89,0.17,159.76,12,3340.22
3950.87,6.66,2.51,89.48,8,2167.5
5953.97,8.39,1.53,341.97,12,2955.05
10877.27,22.84,3.61,222.77,24,6895.9
11772.86,20.22,1.48,334.36,24,7766.23
6575.65,7.81,0.89,100.87,12,3280.72
4889.76,13.46,0.31,126.75,16,2783.53
12599.91,17.82,0.78,366.41,24,7588.93
8009.57,18.2,2.74,184.62,24,5466.94
1919.54,7.69,0.07,108.75,8,1042.82
1640.96,9.47,4.78,347.86,12,1179.68
6221.23,4.36,2.03,132.74,8,3192.05
11456.89,21.46,0.26,157.22,24,7437.21
5371.7,7.35,1.05,114.25,12,2972.38
15732.81,20.75,2.65,192.35,24,10100.72
15012.99,10.79,0.56,250.93,16,8498.19
3703.01,15.59,7.54,340.89,16,2691.49
779.65,7.16,0.45,136.29,8,445.58
7990.31,6.49,3.52,1530.37,12,4989.55
3852.22,7.55,3.33,1116.72,8,2215.86
1835.07,6.38,1.23,207.21,8,1036.0
7743.61,15.29,3.29,71.33,16,4239.16
1396.55,5.33,0.35,60.95,8,691.18
9972.22,9.66,0.08,135.67,12,5596.55
3208.08,11.55,1.37,332.39,16,2076.99
8821.76,9.62,1.25,453.16,12,4774.03
5616.88,6.36,2.22,284.91,12,3215.98
5698.1,10.33,1.66,181.31,16,3726.73
3203.55,9.78,1.12,541.65,12,1987.33
5493.08,13.47,2.38,82.08,16,3332.08
9313.75,13.13,3.07,312.19,16,5573.32
8877.11,11.26,0.29,321.86,12,4738.18
12327.92,23.02,2.48,75.54,24,8040.41
6703.69,8.97,1.75,139.98,12,3450.48
4877.45,7.06,2.27,138.48,8,2201.24
10160.04,14.34,1.99,291.94,16,5411.75
11099.89,8.5,0.24,94.32,16,5889.87
5032.26,11.11,5.9,217.68,12,2828.91
6175.73,8.89,1.93,197.08,16,3421.53
5079.21,6.81,0.03,325.7,12,2803.24
9433.94,13.55,4.77,782.69,16,5615.29
3634.97,10.83,1.41,366.59,12,2067.81
9294.56,9.71,0.77,211.72,16,5285.57
6417.38,14.04,0.72,138.45,16,3380.9
7431.51,6.84,0.65,94.55,12,3648.33
14860.05,17.68,1.71,269.4,24,9591.84
6692.48,11.56,1.95,415.31,12,3858.83
1159.6,10.48,2.62,8.29,12,658.27
10098.16,12.27,0.96,353.46,24,6132.75
5146.89,5.83,0.86,222.92,8,2383.24
16816.03,12.48,0.77,355.36,16,8877.18
3090.59,13.44,1.5,248.42,16,1991.89
27275.0,21.98,1.19,346.54,24,16670.69
4310.25,7.25,0.73,391.73,12,2380.49
5019.65,6.07,0.31,339.37,8,2286.88
9365.32,9.76,0.1,196.32,16,5323.04
9044.38,12.12,0.14,149.75,16,5422.65
6358.22,14.93,1.85,535.3,16,3901.81
4032.12,22.18,8.11,141.78,24,3592.94
12543.55,10.34,1.34,317.1,16,6905.99
6509.02,9.44,0.21,430.1,16,3764.56
20536.62,19.96,2.64,166.77,24,13018.97
9353.75,21.26,1.34,109.28,24,5435.37
5185.89,8.87,0.82,35.11,12,2741.12
4018.58,9.46,0.64,214.35,16,2417.05
6877.26,8.96,3.48,306.0,12,3921.94
10975.76,11.45,0.22,101.75,12,5685.99
3012.39,8.09,0.71,90.04,12,1584.11
4079.76,12.77,1.38,225.01,16,2245.29
7416.29,13.06,0.27,99.67,16,4106.21
1190.34,7.43,0.42,49.38,8,615.22
12007.51,21.14,7.58,307.06,24,8986.58
12453.13,22.73,1.17,119.63,24,7392.78
4600.82,4.06,2.1,601.11,8,2458.79
3019.09,4.92,3.8,105.54,8,1511.85
2467.7,4.45,2.94,42.08,8,1181.41
2440.95,7.05,0.31,213.99,8,1318.83
13754.07,20.53,0.13,183.08,24,8680.77
3489.91,5.83,2.71,276.39,8,1983.29
7750.91,4.61,0.81,129.5,8,3863.13
1756.74,20.92,0.46,292.51,24,1266.06
5726.94,6.1,1.1,301.82,8,2827.05
2858.72,6.08,6.26,96.26,12,1788.69
2930.87,9.9,1.32,462.38,12,1973.72
4549.5,13.34,5.04,116.72,16,2772.61
9750.81,9.86,2.34,369.61,16,5745.34
7923.4,16.18,8.5,291.13,24,6053.29
1020.68,7.94,0.59,137.15,12,565.6
13929.58,19.17,0.77,245.24,24,8256.99
21749.21,12.38,2.81,434.75,24,13941.85
3332.92,12.93,0.85,176.49,16,1835.09
6412.82,7.57,0.7,195.54,12,3475.39
1231.85,7.97,2.64,185.62,8,713.22
8538.65,6.26,11.83,141.98,8,4456.09
10288.9,9.23,0.25,321.46,16,6181.83
5690.45,5.93,1.42,71.3,8,2710.15
13976.9,7.97,0.06,58.83,12,7770.11
5753.78,8.58,0.31,491.99,16,3539.7
3104.23,6.6,2.78,396.13,8,1758.56
6335.03,8.64,1.95,242.32,12,3629.82
4291.72,7.44,0.68,12.56,8,2081.35
7946.28,10.17,1.72,402.31,16,4643.37
3389.52,10.81,2.14,365.25,16,2057.68
5406.17,10.19,2.35,196.5,16,3221.27
17775.01,18.55,4.81,300.38,24,10766.1
9773.08,12.34,7.67,66.0,24,6751.88
14896.58,21.04,2.99,248.46,24,10046.33
3435.98,7.84,2.07,954.64,8,1976.03
2163.81,6.21,0.32,675.26,8,1184.23
4697.93,11.09,2.44,238.21,12,2526.3
3690.21,7.48,0.07,373.62,8,2003.84
2005.75,11.16,1.91,325.84,12,1321.05
9760.37,13.5,0.19,766.53,24,5943.89
9377.76,20.96,1.68,445.75,24,6551.87
3890.68,5.78,0.47,274.33,8,1917.1
13183.01,20.2,0.35,440.77,24,8133.89
11310.4,23.17,3.06,55.47,24,7911.99
1883.75,10.96,2.37,840.29,12,1555.21
2513.07,6.67,1.3,197.53,8,1308.01
5071.85,9.57,1.31,137.04,12,2821.86
5950.95,6.67,0.96,158.61,12,3547.68
3283.13,10.86,4.16,224.96,12,2042.4
1744.47,4.47,0.96,225.38,8,965.14
12525.38,14.29,0.09,321.84,24,7974.55
7073.82,6.79,1.1,112.73,12,4042.92
12516.61,13.53,1.42,176.9,24,7858.78
4079.1,11.34,0.18,311.57,16,2504.63
1877.34,4.32,1.01,209.89,8,1007.88
6021.19,10.67,1.45,76.98,12,3002.69
15260.2,15.87,1.49,107.59,24,9828.94
2155.97,6.34,1.07,158.08,12,1233.68
1997.72,8.04,0.66,349.88,12,1233.44
12567.6,20.23,0.18,176.83,24,7606.12
7975.5,22.26,2.42,303.74,24,5540.6
3951.12,7.93,0.89,194.65,8,2041.14
10307.33,23.17,1.34,568.6,24,6826.58
3356.56,5.09,1.42,127.42,8,1788.62
7297.05,21.56,1.27,153.67,24,4782.01
2932.13,7.09,0.8,149.29,8,1535.39
9036.89,23.16,1.76,84.89,24,5824.84
3221.49,6.55,0.98,337.08,12,1812.95
4275.28,5.81,1.28,35.96,8,2290.23
13730.61,15.61,1.72,601.44,24,9550.15
6036.65,15.23,0.21,445.31,16,3829.88
6084.36,5.81,1.77,134.76,8,3085.14
12025.0,17.28,0.22,118.91,24,7300.32
6535.58,13.72,2.07,353.37,16,4015.15
10310.14,16.44,5.08,493.09,24,7341.97
21795.45,15.08,2.65,194.69,24,14305.48
12047.49,13.35,2.86,106.97,16,6573.04
3494.23,4.7,2.4,644.54,8,1934.99
3028.73,6.07,2.33,158.53,8,1617.84
8848.14,6.9,0.09,289.89,12,4655.92
2919.38,9.73,0.35,621.14,12,1758.66
8728.14,22.17,6.55,351.38,24,6378.54
9085.42,12.31,1.57,370.28,24,6043.97
21999.28,12.28,0.92,415.4,24,14275.68
11162.89,14.2,0.5,538.94,24,6946.37
7374.84,9.06,3.37,654.83,12,4153.26
3201.03,8.23,2.28,333.47,12,1765.02
3524.34,5.02,4.56,217.66,8,1873.52
6514.39,9.45,1.58,243.88,16,3811.44
18113.84,12.48,1.56,71.57,24,10920.11
4861.64,11.87,0.03,200.2,12,2491.5
11939.21,7.61,1.93,385.27,12,6272.25
3999.14,7.55,7.82,177.1,12,2423.9
5342.77,4.38,0.75,172.68,8,2434.32
3618.98,7.01,0.28,945.93,8,2048.61
1259.34,5.84,1.26,220.78,8,677.9
2603.31,7.46,1.05,159.61,8,1243.07
11479.37,12.13,0.18,23.73,24,7399.55
2557.53,4.73,2.5,27.42,8,1141.84
11399.28,13.08,0.55,146.56,16,6787.11
5316.01,10.17,0.55,140.64,16,2992.18
