route_length,traffic_score,vehicle_type,delivery_count,co2_kg
7.15,1,mini_truck,20,3.93
6.36,8,two_wheeler,81,13.01
34.51,6,ev,17,4.72
32.8,2,two_wheeler,31,7.87
51.03,7,two_wheeler,31,10.07
14.87,3,ev,39,7.06
45.58,10,mini_truck,30,16.85
25.78,7,ev,21,4.99
27.99,1,two_wheeler,16,4.55
1.07,2,ev,68,10.96
9.5,9,mini_truck,24,5.99
4.17,1,two_wheeler,30,4.82
19.14,3,mini_truck,41,9.86
13.58,5,van,47,8.62
8.75,5,truck_cng,49,9.67
13.25,10,two_wheeler,43,7.59
5.77,10,ev,6,1.37
11.61,3,two_wheeler,42,7.01
23.23,10,van,8,6.36
10.18,10,ev,13,2.82
8.23,5,van,20,4.6
20.92,8,truck_cng,18,7.21
11.12,4,two_wheeler,27,5.0
24.31,6,mini_truck,55,13.34
18.87,7,van,38,9.46
21.86,2,van,22,6.07
27.14,3,truck_diesel,36,13.56
33.54,4,two_wheeler,21,6.58
6.91,4,mini_truck,25,5.09
19.37,10,two_wheeler,53,10.57
16.32,5,two_wheeler,28,5.62
8.78,10,ev,39,5.91
3.71,7,van,36,6.08
19.1,10,mini_truck,71,14.86
12.14,10,two_wheeler,27,5.6
6.04,9,mini_truck,12,3.39
15.19,7,mini_truck,60,11.77
13.75,5,two_wheeler,36,6.57
2.98,4,two_wheeler,32,4.66
2.35,9,two_wheeler,37,5.71
27.0,9,two_wheeler,44,9.12
11.17,2,two_wheeler,19,3.25
17.58,1,truck_diesel,16,6.54
22.39,9,two_wheeler,53,10.45
1.23,2,van,54,7.4
15.79,6,truck_diesel,15,8.02
8.25,4,mini_truck,24,5.3
3.16,5,ev,9,1.51
5.77,2,two_wheeler,36,5.82
14.28,4,two_wheeler,46,7.92
1.59,6,two_wheeler,61,10.22
19.67,6,truck_diesel,22,9.81
9.68,4,mini_truck,43,8.12
3.63,6,mini_truck,35,6.27
8.75,2,mini_truck,64,11.51
16.26,5,van,61,11.4
19.52,8,truck_diesel,40,12.92
14.1,6,two_wheeler,18,4.13
53.61,7,mini_truck,7,13.52
15.37,8,mini_truck,11,4.67
15.79,10,two_wheeler,45,8.41
9.34,5,mini_truck,51,8.72
9.74,7,mini_truck,53,10.68
7.01,8,two_wheeler,15,2.89
19.91,8,mini_truck,87,17.35
25.97,4,truck_cng,32,9.94
14.01,9,truck_diesel,16,8.19
26.99,4,van,38,9.5
12.65,10,two_wheeler,24,5.23
47.65,9,mini_truck,20,13.35
44.76,1,two_wheeler,5,4.29
9.53,1,mini_truck,60,9.94
17.78,9,two_wheeler,60,11.36
15.49,9,two_wheeler,18,4.22
3.15,6,ev,21,3.38
33.3,5,mini_truck,30,11.11
12.03,8,van,8,3.61
11.04,8,two_wheeler,33,6.26
3.68,3,mini_truck,33,5.48
16.12,10,truck_diesel,51,14.36
6.93,3,two_wheeler,17,3.09
3.19,7,two_wheeler,50,7.77
33.41,9,two_wheeler,104,19.44
6.45,4,truck_diesel,15,4.15
18.69,8,ev,50,8.77
6.95,8,van,27,5.19
28.29,4,van,12,5.93
4.94,10,two_wheeler,10,2.03
5.39,9,two_wheeler,8,1.85
8.3,3,truck_diesel,75,12.85
7.74,6,two_wheeler,10,2.43
7.72,6,van,11,2.81
5.21,8,ev,8,1.55
30.01,9,van,46,12.54
22.25,10,two_wheeler,27,7.23
8.35,10,mini_truck,66,12.06
16.53,3,two_wheeler,21,4.47
33.18,4,mini_truck,28,9.46
5.02,4,two_wheeler,45,7.53
22.18,6,ev,54,9.45
38.35,2,mini_truck,17,8.68
5.46,8,truck_cng,34,6.77
4.17,3,mini_truck,57,9.65
2.55,7,van,41,6.42
8.24,8,ev,23,3.89
4.45,4,truck_diesel,40,7.03
2.16,5,truck_cng,37,6.27
23.25,3,ev,11,3.21
45.92,8,van,18,12.36
11.82,4,mini_truck,14,4.07
2.34,3,two_wheeler,23,3.52
16.39,7,two_wheeler,76,13.61
11.07,1,two_wheeler,46,8.34
19.58,3,two_wheeler,23,5.46
16.02,2,two_wheeler,39,6.36
6.16,2,ev,22,3.55
9.58,8,two_wheeler,39,6.82
7.16,7,truck_diesel,29,6.45
9.6,3,two_wheeler,26,4.75
28.06,9,two_wheeler,27,7.48
10.66,2,two_wheeler,5,1.58
23.04,5,two_wheeler,14,4.32
12.84,1,ev,24,3.99
7.85,7,van,70,12.33
8.0,4,van,33,5.82
4.07,2,ev,17,2.6
7.77,9,van,34,6.46
6.08,8,mini_truck,16,3.87
4.27,4,truck_diesel,26,5.71
11.7,9,two_wheeler,20,4.27
44.31,6,van,10,9.18
31.85,5,ev,33,7.07
19.45,1,ev,29,5.11
8.75,5,van,13,3.18
15.16,4,mini_truck,35,7.84
3.47,5,truck_diesel,64,10.52
6.61,2,mini_truck,29,5.41
0.94,2,van,29,4.53
7.36,4,two_wheeler,50,8.3
9.84,9,two_wheeler,46,7.76
12.49,7,ev,28,5.34
26.18,10,ev,54,10.54
22.03,9,ev,41,8.47
28.42,4,two_wheeler,67,12.4
2.96,1,ev,57,8.35
22.0,2,truck_diesel,37,10.85
12.17,3,van,31,6.1
2.04,4,mini_truck,34,5.61
37.76,3,mini_truck,27,10.7
21.97,10,two_wheeler,26,6.29
53.8,3,truck_cng,65,20.0
5.83,1,two_wheeler,7,1.54
14.52,9,two_wheeler,10,3.32
18.59,1,van,30,6.79
14.89,10,truck_diesel,15,8.28
1.3,7,truck_diesel,55,9.12
10.19,2,two_wheeler,55,8.4
25.45,4,van,10,6.04
39.92,8,two_wheeler,16,6.92
9.81,7,van,31,6.06
15.67,8,two_wheeler,13,3.77
22.74,4,van,43,10.1
13.31,1,two_wheeler,0,0.98
19.01,1,van,40,8.32
2.22,2,mini_truck,6,1.28
4.79,4,van,50,8.37
23.9,9,two_wheeler,34,7.74
10.1,10,ev,20,3.86
16.95,4,two_wheeler,34,7.01
5.15,7,two_wheeler,44,7.67
39.25,1,mini_truck,50,14.19
21.17,5,two_wheeler,105,19.52
2.37,10,two_wheeler,24,3.61
16.28,8,ev,18,3.7
5.76,7,two_wheeler,19,3.54
15.02,4,two_wheeler,18,4.23
15.67,7,two_wheeler,14,3.8
26.68,3,mini_truck,16,6.83
3.55,3,ev,29,4.87
3.18,6,ev,26,4.18
19.39,1,van,13,4.23
11.12,4,two_wheeler,54,9.2
10.13,1,two_wheeler,30,5.33
10.25,3,truck_diesel,40,8.48
41.68,3,ev,31,7.51
8.62,4,ev,24,4.6
6.22,4,van,34,5.94
26.28,4,two_wheeler,23,5.69
11.9,7,two_wheeler,23,4.47
10.97,4,truck_diesel,20,6.22
5.48,1,ev,6,1.05
24.32,3,two_wheeler,31,6.2
10.46,6,mini_truck,9,3.39
13.57,2,two_wheeler,25,4.25
2.44,10,mini_truck,39,6.92
9.63,4,mini_truck,18,4.35
6.12,2,mini_truck,33,5.9
25.35,10,truck_cng,33,12.4
6.32,6,ev,19,3.01
13.06,1,two_wheeler,40,6.28
22.12,6,truck_diesel,78,17.14
13.01,1,van,22,5.37
17.82,4,two_wheeler,7,2.61
7.22,5,mini_truck,24,5.09
23.95,8,truck_cng,51,13.89
14.66,2,mini_truck,22,5.31
22.42,10,van,22,8.36
26.47,6,ev,43,8.84
28.55,4,truck_diesel,39,14.56
16.15,2,van,18,4.71
15.06,10,two_wheeler,17,3.82
2.87,2,ev,2,0.42
15.8,8,ev,44,7.91
3.78,2,ev,16,2.56
7.68,4,two_wheeler,32,5.24
12.25,7,van,47,9.42
10.43,2,mini_truck,72,12.04
11.92,3,truck_cng,9,3.87
45.86,7,mini_truck,40,16.27
6.42,10,ev,25,4.56
23.32,7,two_wheeler,14,4.57
16.92,1,two_wheeler,46,8.08
20.39,6,van,35,8.68
12.2,2,van,40,7.48
42.81,10,two_wheeler,25,9.84
17.84,7,truck_cng,9,6.02
5.05,6,ev,25,4.11
17.03,6,van,24,6.4
6.79,7,truck_diesel,15,4.24
7.5,1,mini_truck,59,10.18
5.82,4,two_wheeler,45,6.9
20.16,7,mini_truck,15,6.8
12.74,5,two_wheeler,41,7.44
26.75,10,truck_cng,11,8.48
15.96,2,truck_diesel,34,8.72
28.99,7,truck_cng,26,11.94
10.02,10,ev,10,2.4
7.09,7,two_wheeler,69,11.36
15.9,9,van,23,6.57
63.49,6,ev,8,5.23
51.66,3,two_wheeler,11,6.02
26.18,8,ev,25,5.75
43.89,4,ev,18,4.85
6.98,7,two_wheeler,10,2.33
54.1,3,truck_diesel,29,17.87
14.32,10,van,18,5.42
22.54,9,mini_truck,14,7.73
2.28,8,two_wheeler,17,2.63
22.86,10,two_wheeler,14,5.19
0.82,1,two_wheeler,44,6.23
26.38,1,two_wheeler,29,6.45
8.5,3,two_wheeler,29,5.15
21.4,4,two_wheeler,29,6.3
1.05,5,van,9,1.43
5.63,8,van,49,8.45
17.12,9,ev,29,5.88
13.51,9,mini_truck,37,8.67
8.0,8,van,24,5.12
3.55,5,mini_truck,44,7.51
7.5,8,ev,14,2.74
10.19,2,two_wheeler,8,1.93
24.47,7,mini_truck,14,8.44
19.36,1,two_wheeler,39,6.75
15.68,6,truck_diesel,38,10.48
14.52,3,truck_diesel,44,10.18
19.51,6,van,27,7.16
5.79,1,mini_truck,15,3.09
20.53,7,van,84,16.5
27.01,8,ev,32,6.89
6.84,10,two_wheeler,22,3.81
27.41,6,mini_truck,13,7.47
9.42,10,mini_truck,68,12.68
25.32,8,van,62,14.23
27.48,6,mini_truck,17,7.93
10.11,2,ev,33,5.37
22.44,9,mini_truck,37,10.69
5.61,9,two_wheeler,25,4.47
11.62,9,two_wheeler,108,16.9
2.43,8,van,30,5.06
5.31,9,mini_truck,38,6.87
2.2,4,two_wheeler,16,2.67
18.47,1,mini_truck,34,7.41
1.61,3,van,97,14.72
28.54,7,van,21,7.99
5.12,7,truck_diesel,52,9.25
11.58,3,ev,50,7.45
15.97,6,ev,40,6.86
12.42,8,two_wheeler,18,4.42
13.45,2,mini_truck,38,8.13
12.21,8,two_wheeler,30,5.99
16.86,5,ev,16,3.23
12.54,3,two_wheeler,30,5.95
15.23,8,mini_truck,1,3.75
2.58,5,two_wheeler,70,10.1
43.91,1,truck_diesel,17,12.78
14.1,6,two_wheeler,45,8.69
3.17,10,van,10,2.22
54.33,7,two_wheeler,42,12.69
32.37,9,truck_cng,48,15.17
4.7,6,two_wheeler,20,3.35
26.35,3,truck_cng,10,7.35
13.28,9,two_wheeler,30,5.91
20.17,5,two_wheeler,20,4.85
33.29,9,two_wheeler,46,12.3
24.57,10,ev,21,5.23
3.24,10,van,22,4.01
11.69,1,van,36,6.57
13.81,3,ev,33,5.97
12.16,1,van,19,4.56
33.09,7,two_wheeler,26,6.97
14.94,2,mini_truck,18,5.0
47.12,1,mini_truck,51,14.03
11.64,9,mini_truck,23,6.38
7.81,4,mini_truck,58,10.12
10.36,4,mini_truck,15,4.31
16.81,5,two_wheeler,15,3.76
9.79,3,ev,29,4.73
4.67,3,mini_truck,43,7.44
19.33,2,mini_truck,14,5.29
5.23,1,two_wheeler,29,4.32
15.83,8,ev,17,3.56
6.66,5,van,9,2.49
9.89,3,mini_truck,36,6.22
7.2,4,ev,25,4.12
18.66,6,two_wheeler,37,7.36
18.26,8,van,12,5.55
2.74,2,van,28,4.52
34.21,4,two_wheeler,37,8.22
28.85,7,mini_truck,33,11.05
15.8,2,truck_diesel,54,12.79
21.34,6,van,25,7.72
10.54,10,two_wheeler,90,12.87
4.35,5,mini_truck,8,2.01
8.9,6,ev,36,6.57
7.31,4,two_wheeler,38,6.39
51.63,6,van,18,12.69
18.31,4,two_wheeler,28,5.78
26.21,7,mini_truck,21,8.88
13.37,2,van,19,4.85
23.09,6,ev,19,4.31
18.41,6,van,9,4.3
6.98,7,two_wheeler,32,5.48
1.88,3,two_wheeler,10,1.6
6.72,7,truck_cng,26,5.89
10.22,2,van,23,4.51
21.44,1,ev,70,11.16
6.06,6,truck_cng,33,6.82
21.63,5,two_wheeler,22,5.27
7.28,3,mini_truck,15,3.51
8.52,7,two_wheeler,33,5.89
21.12,4,van,35,8.57
33.66,2,truck_diesel,14,11.73
37.35,2,van,27,9.31
1.5,1,van,27,3.8
8.75,3,two_wheeler,13,2.6
54.31,4,two_wheeler,45,12.46
25.51,8,van,23,8.52
14.98,3,two_wheeler,26,5.24
29.88,1,van,36,8.41
26.7,9,van,19,8.45
42.16,10,van,24,12.26
38.73,4,two_wheeler,49,10.82
11.14,4,truck_diesel,24,6.41
26.04,8,ev,72,12.23
9.72,8,ev,39,6.17
8.0,3,van,49,8.05
11.32,6,ev,44,7.34
3.68,2,truck_diesel,4,1.63
22.72,3,two_wheeler,32,6.56
7.94,5,ev,16,2.99
19.84,5,truck_diesel,10,8.17
9.34,6,truck_diesel,23,6.27
52.48,6,mini_truck,32,16.5
12.29,4,two_wheeler,53,9.44
22.6,2,ev,26,4.74
21.9,8,two_wheeler,29,6.71
32.32,1,van,17,6.8
11.83,10,ev,10,2.29
11.92,6,mini_truck,37,8.13
4.09,2,truck_diesel,6,2.1
7.14,5,van,17,3.49
16.1,5,ev,44,7.66
28.82,4,mini_truck,10,6.3
21.58,3,two_wheeler,50,8.32
12.48,9,van,34,7.99
4.24,3,ev,22,3.49
28.45,3,truck_diesel,19,11.05
22.48,8,two_wheeler,23,6.19
9.96,7,two_wheeler,41,7.19
16.85,7,ev,5,1.81
11.33,4,ev,23,4.53
8.63,4,truck_diesel,39,7.91
16.2,5,truck_diesel,46,11.69
20.14,7,truck_diesel,37,12.28
17.86,3,two_wheeler,48,8.61
9.35,8,van,27,6.14
18.26,7,two_wheeler,82,13.9
8.24,9,van,16,4.19
9.24,7,mini_truck,33,6.85
20.7,10,van,23,7.96
12.21,5,truck_diesel,31,8.43
17.77,4,van,7,3.74
9.41,3,mini_truck,36,6.89
4.18,9,truck_cng,19,3.83
23.08,3,ev,78,13.23
24.53,6,van,29,9.02
4.8,1,mini_truck,14,2.86
7.27,4,van,33,5.94
28.64,6,mini_truck,5,7.58
10.72,7,two_wheeler,55,10.47
21.15,5,ev,30,5.66
15.1,1,two_wheeler,18,3.81
2.24,2,mini_truck,21,3.43
15.66,7,ev,42,7.46
9.6,5,ev,12,2.5
19.42,1,van,25,6.75
13.58,4,ev,29,5.31
4.56,4,truck_diesel,24,4.84
20.86,3,ev,48,8.25
49.2,9,van,52,16.54
22.45,2,mini_truck,25,7.22
36.15,2,mini_truck,17,8.87
6.94,4,van,19,3.89
7.36,7,ev,60,9.0
14.89,5,van,15,5.23
25.28,1,ev,15,3.59
11.19,3,two_wheeler,11,2.56
16.76,4,mini_truck,23,6.22
0.98,9,two_wheeler,4,0.7
25.45,10,mini_truck,12,8.08
31.83,4,truck_diesel,37,14.57
15.45,8,two_wheeler,22,5.54
12.1,2,truck_cng,12,3.89
24.34,3,two_wheeler,16,4.32
10.59,2,van,16,4.19
6.46,9,truck_cng,17,4.55
7.87,3,two_wheeler,28,4.69
23.18,6,mini_truck,18,7.76
10.73,9,truck_diesel,7,4.71
33.42,1,van,30,8.23
6.92,7,mini_truck,32,6.5
15.51,9,van,45,9.8
5.53,10,ev,43,6.94
4.06,5,ev,25,3.93
11.95,3,two_wheeler,32,5.73
23.71,8,ev,24,5.37
27.76,5,mini_truck,8,6.68
21.12,4,truck_cng,51,11.73
6.79,1,truck_cng,39,6.68
16.45,1,ev,17,3.25
11.85,1,van,23,4.99
7.2,8,ev,35,5.74
40.15,8,two_wheeler,15,6.92
6.43,5,mini_truck,38,7.4
14.75,7,two_wheeler,34,6.58
10.75,8,ev,79,12.52
12.19,7,van,38,7.56
26.67,10,two_wheeler,69,15.55
5.48,6,van,75,13.0
6.27,10,two_wheeler,23,4.36
4.34,10,two_wheeler,20,3.61
15.11,4,truck_cng,6,4.17
21.13,3,two_wheeler,30,5.91
11.02,3,van,27,5.46
7.66,7,two_wheeler,28,5.07
12.51,5,ev,15,2.89
5.99,6,ev,12,1.89
10.35,2,ev,24,4.23
9.34,6,two_wheeler,18,3.79
16.62,1,truck_diesel,29,8.66
22.02,7,van,55,11.6
26.84,9,truck_diesel,28,14.18
13.32,8,mini_truck,63,13.79
14.18,2,two_wheeler,26,4.91
7.76,3,ev,28,4.98
19.6,4,truck_diesel,17,8.58
12.09,2,truck_diesel,37,8.98
12.01,3,truck_diesel,21,6.52
8.91,9,two_wheeler,65,9.76
20.2,6,van,18,6.22
6.69,6,truck_diesel,21,5.21
26.08,3,van,36,8.71
15.95,8,van,44,9.96
20.47,10,two_wheeler,49,9.89
16.99,8,ev,16,3.61
12.47,3,two_wheeler,45,8.1
13.3,1,van,17,3.92
7.68,5,mini_truck,6,2.48
29.79,5,ev,39,7.53
20.4,1,two_wheeler,62,10.85
5.7,5,two_wheeler,40,6.11
5.45,3,van,19,3.84
19.34,5,two_wheeler,15,4.12
8.86,4,two_wheeler,41,5.94
1.93,4,ev,9,1.49
20.29,10,ev,37,7.09
34.65,4,truck_diesel,23,13.24
21.79,9,two_wheeler,39,7.47
4.26,3,van,12,2.55
8.02,4,mini_truck,16,4.17
10.9,2,two_wheeler,46,7.69
24.14,1,van,26,7.4
5.63,5,van,27,4.97
8.48,8,ev,9,2.01
9.34,1,two_wheeler,44,7.21
5.29,2,van,26,4.47
3.54,3,van,25,4.24
10.54,1,two_wheeler,51,8.32
2.38,6,van,31,5.25
10.92,10,mini_truck,26,6.56
22.77,10,ev,16,4.24
4.65,1,mini_truck,12,2.48
9.38,2,ev,27,4.35
5.51,1,ev,35,5.85
5.84,3,two_wheeler,7,1.61
39.66,4,ev,50,10.74
7.49,3,two_wheeler,37,5.9
13.92,7,ev,23,4.71
4.16,7,ev,9,1.53
20.63,3,two_wheeler,23,5.3
32.81,6,ev,7,3.17
13.44,7,two_wheeler,13,3.56
13.59,3,two_wheeler,33,6.11
12.92,6,mini_truck,43,7.98
18.16,7,two_wheeler,55,9.9
19.6,6,mini_truck,51,12.53
39.87,7,two_wheeler,16,6.05
3.57,6,mini_truck,15,2.95
10.41,1,mini_truck,27,5.64
6.17,10,ev,15,2.69
26.53,8,truck_cng,13,9.47
7.39,3,truck_diesel,13,3.98
30.65,7,two_wheeler,47,10.31
39.3,6,two_wheeler,36,8.8
24.96,1,ev,32,5.77
2.75,7,ev,65,10.81
35.47,7,ev,23,5.6
16.33,6,ev,52,9.72
5.23,5,ev,8,1.58
15.08,1,van,26,6.12
15.34,4,mini_truck,53,10.57
10.6,7,ev,25,4.53
24.82,6,van,32,8.34
14.65,4,ev,16,3.44
1.4,8,two_wheeler,36,5.61
21.27,8,mini_truck,19,7.6
29.44,7,two_wheeler,37,9.17
7.97,1,mini_truck,25,5.4
14.92,7,ev,6,1.89
22.34,4,van,24,7.3
15.93,3,van,13,4.24
23.18,1,two_wheeler,5,2.3
7.2,1,two_wheeler,32,5.19
5.16,7,two_wheeler,5,1.24
20.22,8,two_wheeler,33,7.81
36.48,6,van,35,11.19
26.02,5,ev,16,4.05
10.76,1,two_wheeler,49,7.97
7.31,5,truck_cng,22,4.73
24.05,2,ev,35,5.98
37.12,1,two_wheeler,19,6.06
16.57,4,two_wheeler,19,4.4
3.14,1,mini_truck,39,6.5
6.87,4,ev,16,2.44
9.06,9,mini_truck,46,9.27
15.82,9,mini_truck,44,9.87
12.02,5,truck_diesel,14,5.97
11.02,7,ev,40,6.36
6.03,1,mini_truck,13,2.72
35.2,3,mini_truck,8,7.05
49.25,8,two_wheeler,2,6.12
25.59,7,two_wheeler,23,6.17
13.06,6,van,44,8.99
24.31,8,two_wheeler,12,4.39
33.02,5,van,5,6.33
36.98,4,two_wheeler,9,4.69
30.01,9,van,40,12.88
12.95,10,truck_cng,23,6.75
15.77,6,mini_truck,16,5.71
15.8,6,truck_diesel,31,9.58
17.53,3,van,59,11.45
8.05,10,two_wheeler,9,2.29
18.23,10,two_wheeler,79,13.66
1.27,1,truck_diesel,45,6.57
8.97,8,mini_truck,8,2.98
15.94,7,two_wheeler,22,5.66
6.21,10,truck_diesel,13,4.61
8.82,5,truck_diesel,18,4.81
11.45,4,mini_truck,20,5.04
17.34,6,two_wheeler,15,4.2
16.9,7,two_wheeler,36,7.43
5.54,8,van,25,4.24
10.25,3,van,21,5.1
3.36,1,two_wheeler,37,6.05
4.83,7,two_wheeler,23,4.31
8.67,10,van,37,7.39
11.63,4,van,53,10.08
31.19,10,van,21,9.75
32.79,8,mini_truck,53,15.43
43.6,7,two_wheeler,24,8.17
22.38,5,mini_truck,28,8.98
6.75,9,two_wheeler,52,9.04
21.66,1,mini_truck,21,6.3
13.4,3,truck_diesel,39,9.02
47.73,4,ev,24,6.11
28.82,6,two_wheeler,29,7.44
4.9,8,two_wheeler,20,3.6
19.15,6,two_wheeler,28,6.0
1.15,1,mini_truck,42,5.8
47.54,1,truck_cng,47,14.23
15.87,1,ev,16,3.3
17.92,8,van,15,5.69
16.27,1,two_wheeler,23,4.61
15.34,5,van,17,5.04
4.87,4,truck_cng,81,12.8
4.75,9,ev,25,4.24
18.92,6,truck_diesel,36,11.87
4.48,3,ev,9,1.49
28.31,10,two_wheeler,27,7.16
17.63,5,mini_truck,9,4.57
5.03,8,two_wheeler,17,2.92
5.6,4,mini_truck,15,3.29
7.27,5,truck_cng,30,6.87
8.61,6,truck_diesel,34,7.86
12.82,5,mini_truck,31,7.22
4.2,3,van,25,4.45
29.52,1,two_wheeler,34,7.26
3.22,7,van,58,9.76
13.49,6,two_wheeler,31,5.26
8.51,4,van,19,4.34
16.04,9,van,29,8.07
11.67,2,two_wheeler,44,7.87
15.59,4,van,25,6.33
27.78,2,two_wheeler,5,2.97
8.44,5,mini_truck,50,9.01
42.39,1,two_wheeler,31,7.16
3.68,1,van,16,3.11
20.41,3,two_wheeler,24,5.12
17.68,8,mini_truck,26,7.68
33.52,4,two_wheeler,33,7.72
14.73,9,mini_truck,14,5.49
5.17,8,two_wheeler,27,4.57
11.5,8,van,20,5.32
18.72,1,two_wheeler,43,7.97
23.36,10,mini_truck,51,13.43
7.44,5,truck_diesel,5,3.18
22.97,9,mini_truck,78,18.37
8.87,10,ev,19,3.4
13.5,1,two_wheeler,57,9.05
5.95,10,van,24,5.27
42.85,9,van,18,11.97
13.41,2,truck_diesel,10,5.0
27.16,2,two_wheeler,30,6.47
19.3,1,ev,67,11.76
59.09,10,van,2,13.43
18.49,3,two_wheeler,42,7.36
6.43,7,mini_truck,24,5.25
10.46,5,two_wheeler,19,3.93
24.92,7,truck_diesel,38,14.69
41.15,7,two_wheeler,32,9.82
19.88,4,ev,15,3.31
13.39,6,two_wheeler,59,10.07
15.83,8,mini_truck,13,5.22
26.83,1,truck_cng,18,7.39
24.89,5,two_wheeler,29,7.17
8.49,2,truck_diesel,9,3.45
5.24,1,truck_cng,57,9.12
17.98,10,two_wheeler,14,4.19
6.3,2,ev,32,5.29
19.11,9,mini_truck,30,9.67
35.47,9,mini_truck,40,15.3
21.65,2,truck_cng,34,9.24
11.61,4,truck_diesel,15,5.24
16.65,10,two_wheeler,18,4.8
18.64,1,ev,34,5.82
23.67,2,mini_truck,70,14.85
6.69,2,van,14,3.03
6.87,7,van,11,3.01
26.6,4,ev,14,4.11
15.19,7,ev,50,7.66
9.34,8,truck_diesel,61,12.46
6.81,9,van,9,2.74
10.28,8,ev,64,10.35
40.48,10,two_wheeler,18,7.88
11.55,9,two_wheeler,23,4.55
18.28,9,truck_cng,49,13.61
20.54,4,two_wheeler,16,4.03
29.9,9,two_wheeler,51,11.85
25.19,5,two_wheeler,25,6.23
13.9,6,van,33,7.79
4.61,9,ev,30,4.96
11.95,1,van,11,3.13
9.58,3,two_wheeler,21,3.37
8.26,3,mini_truck,29,5.73
15.88,6,two_wheeler,28,5.94
18.52,9,truck_diesel,35,12.61
32.53,4,truck_diesel,11,11.91
11.86,8,van,13,4.35
11.34,7,truck_diesel,29,8.6
10.57,4,two_wheeler,35,6.1
22.21,5,mini_truck,56,13.44
14.66,7,two_wheeler,8,2.79
6.37,6,ev,35,5.56
2.91,3,ev,31,4.62
8.62,7,ev,17,3.35
56.59,10,van,66,21.79
19.58,9,two_wheeler,25,6.27
13.44,6,two_wheeler,11,2.97
3.68,6,two_wheeler,12,2.27
7.12,1,ev,35,5.37
28.29,4,truck_diesel,19,10.47
7.39,9,two_wheeler,12,2.62
27.57,8,van,13,7.65
17.12,1,van,13,3.99
8.65,6,truck_diesel,22,6.2
10.59,10,van,45,9.03
14.35,4,van,118,18.55
4.63,2,truck_cng,13,2.81
10.02,2,ev,17,3.2
14.17,6,truck_diesel,59,14.22
20.88,2,ev,37,6.41
6.02,10,mini_truck,27,5.37
11.91,7,two_wheeler,13,3.27
25.56,6,truck_diesel,10,9.2
26.53,4,truck_cng,26,9.46
1.85,8,mini_truck,29,4.56
23.41,3,ev,6,2.24
9.68,6,mini_truck,31,6.6
22.44,2,two_wheeler,19,4.83
15.04,9,two_wheeler,20,4.91
11.65,8,truck_cng,51,9.38
24.45,2,ev,61,11.26
32.1,8,two_wheeler,9,4.6
2.43,8,van,32,5.31
1.97,9,two_wheeler,8,1.54
11.2,4,two_wheeler,43,7.22
13.89,3,mini_truck,45,10.03
4.04,4,mini_truck,9,2.08
12.62,2,two_wheeler,5,1.69
6.4,9,ev,103,16.04
23.94,10,van,22,8.54
26.93,9,two_wheeler,19,5.93
6.05,9,van,23,4.98
22.46,5,van,37,9.28
15.06,1,truck_diesel,13,5.46
7.45,4,two_wheeler,36,6.03
14.37,8,truck_cng,17,6.47
20.11,10,van,12,6.49
3.36,10,two_wheeler,13,2.37
16.48,5,two_wheeler,14,3.75
11.15,5,ev,15,2.89
19.57,10,mini_truck,17,7.82
